relevant,format,cathode_material,anode_material,electrolyte,additive,year,title,DOI
Yes,Not found,Not found,Not found,Not found,"LBCB, LCSB",2007,New lithium salts with croconato-complexes of boron for lithium battery electrolytes,10.1016/j.jpowsour.2007.05.100
Yes,Coin,Chevrel phase (Mo6S8),Magnesium metal,"1-(1,7-carboranyl) magnesium chloride in THF",Not found,2014,Boron Clusters as Highly Stable Magnesium-Battery Electrolytes,10.1002/anie.201310317
Yes,Coin,S and Co3O4,Sodium metal,1.0 M NaPF6 in diglyme for liquid; PVDF-HFP/SiO2/diglyme/NaPF6 for gel,Not found,2019,Nip the Sodium Dendrites in the Bud on Planar Doped Graphene in Liquid/Gel Electrolytes,10.1002/adfm.201807974
Yes,Coin,LiMn2O4,Graphite,1M LiPF6 in EC:DMC (1:1 by wt.) with 0.1 M lithium chelato-borate additives,"LiBOB, LiSOB, LiBSB, LiBMSB, LiBFSB, LiBClSB, LiBBrSB, LiBCl2SB",2013,Electrochemical stability of lithium salicylato-borates as electrolyte additives in Li-ion batteries,10.1016/j.jpowsour.2012.12.105
Yes,Coin,Graphite,Lithium,4 mol L^{-1} LiPF_6 in ethyl methyl carbonate (EMC),LiNO_3 and Li_2S_8,2018,Dendrite-Free Lithium Anode Enables the Lithium//Graphite Dual-Ion Battery with Much Improved Cyclic Stability,10.1021/acsaem.8b01764
Not found,Not found,Not found,Not found,Not found,Not found,2018,Achieving commercial-level mass loading in ternary-doped holey graphene hydrogel electrodes for ultrahigh energy density supercapacitors,10.1016/j.nanoen.2018.02.007
Not found,Not found,Not found,Not found,Not found,Not found,2020,Closo-Hydroborate Sodium Salts as an Emerging Class of Room-Temperature Solid Electrolytes,10.1016/j.xcrp.2020.100217
Yes,Not found,Not found,Not found,Not found,Not found,2016,New boron based salts for lithium-ion batteries using conjugated ligands,10.1039/c6cp02409b
Yes,Coin,Ru/B4C,Lithium metal,1 M LiTFSI in tetraglyme,Not found,2018,Highly efficient Ru/B4C multifunctional oxygen electrode for rechargeable Li-O2 batteries,10.1016/j.jpowsour.2018.12.016
Yes,Pouch,NMC111 or NMC442,Graphite,1M LiPF6 in EC/EMC (3:7 wt. % ratio),"Pyridine-Boron Trifluoride (PBF), Pyrazine-(BF3)2 (PRZ), Triazine-(BF3)3 (TRIZIN)",2015,"A Comparative Study of Pyridine-Boron Trifluoride, Pyrazine-(BF3)2 and Triazine-(BF3)3 as Electrolyte Additives for Lithium-Ion Cells",10.1149/2.0411510jes
Not found,Not found,Not found,Not found,6 mM PM567 and 100 mM TBAPF6 in acetonitrile,Not found,2016,Characterization of a BODIPY Dye as an Active Species for Redox Flow Batteries,10.1002/cssc.201601104
Yes,Coin,Na3V2O2(PO4)2F/Ti3C2X,Sodium metal,1 M NaClO4 in EC/PC,Not found,2020,Porous BN Nanofibers Enable Long-Cycling Life Sodium Metal Batteries,10.1002/smll.202002671
Yes,Coin,Not found,B/C/N and B/C materials,1 M-NaPF6/EC+DEC(1:1),Not found,2015,The Role of Boron in B/C/N and B/C Materials as an Anode of Sodium Ion Batteries,10.5796/electrochemistry.83.452
Yes,Coin,Not found,Silicon,1 M lithium bis(trifluoromethanesulfonyl)amide (LiTFSA) in propylene carbonate (PC),Not found,2016,Effect of Phosphorus-Doping on Electrochemical Performance of Silicon Negative Electrodes in Lithium-Ion Batteries,10.1021/acsami.6b00386
Not found,Not found,Not found,Not found,Not found,Not found,2018,Highly polarized carbon nano-architecture as robust metal-free catalyst for oxygen reduction in polymer electrolyte membrane fuel cells,10.1016/j.nanoen.2018.04.021
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Solar-powered BDD-electrolysis remediation of soil washing fluid spiked with diesel,10.1002/jctb.6110
Yes,Coin,m-LiMnO2,Lithium foil,1.0 M LiPF6 in EC/DEC (1:1 by volume),Not found,2015,Low-temperature direct synthesis of layered m-LiMnO2 for lithium-ion battery applications,10.1016/j.jallcom.2015.11.038
Yes,Coin,LiNi0.5Mn1.5O4 (LNMO),Lithium metal,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,TPFPB (tris(pentafluorophenyl)borane),2019,Boron additive passivated carbonate electrolytes for stable cycling of 5 V lithium- metal batteries,10.1039/c8ta09380f
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Water-free Localization of Anion at Anode for Small-Concentration Water-in-Salt Electrolytes Confined in Boron-Nitride Nanotube,10.1016/j.xcrp.2020.100246
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Phosphorus-Doped Nanocrystalline Diamond for Supercapacitor Application,10.1002/celc.201801543
Yes,Coin,NCM622,Lithium,LiTFSI:LiBOB = 0.95:0.05 by mol in FEC:HFE:PFEMC = 1:1:4 by weight,LiBOB,2021,Low Resistance and High Stable Solid-Liquid Electrolyte Interphases Enable High-Voltage Solid-State Lithium Metal Batteries,10.1002/adfm.202010611
Not found,Not found,Not found,"Silicon, Tin, Aluminium",Not found,Not found,2017,Lithium trapping in alloy forming electrodes and current collectors for lithium based batteries,10.1039/c7ee00244k
Not found,Not found,Not found,Not found,Not found,Not found,2020,Hybrid functional materials forming the metal structure with optimal imperfection for storage of hydrogen in hydride form,10.1016/j.ijhydene.2020.06.221
Yes,Not found,Not found,Boron-doped graphene,Not found,Not found,2014,Boron-doped graphene as a promising anode for Na-ion batteries,10.1039/c4cp01045k
Yes,Coin,Not found,Lithium metal,1 M LiPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC),Not found,2014,Ultrathin Two-Dimensional Atomic Crystals as Stable Interfacial Layer for Improvement of Lithium Metal Anode,10.1021/nl503125u
Not found,Not found,Not found,Graphite,Not found,Not found,2020,Lithium intercalation edge effects and doping implications for graphite anodes,10.1039/c9ta13862e
Yes,Not found,Not found,Not found,Not found,Not found,2019,Ab initio investigation of the stability of electrolyte/electrode interfaces in all-solid-state Na batteries,10.1039/c8ta10498k
Yes,Coin,LiFePO4,BNb3O9 hollowed-out nanobelts,1 mol L-1 LiPF6 in ethylene carbonate/dimethyl carbonate,Not found,2019,Controlled formation of BNb3O9 nanobelts as superior host material for high performance electrochemical energy storage,10.1016/j.jpowsour.2019.04.051
Yes,Not found,Not found,Not found,Not found,Not found,2018,Electrochemical Characterization of Single Lithium-Ion Conducting Polymer Electrolytes Based on sp3 Boron and Poly(ethylene glycol) Bridges,10.1021/acsami.8b02519
Yes,Coin,LiNi0.82Co0.12Mn0.06O2,Lithium metal,1.2 M LiPF6 in ethylene carbonate/ethyl methyl carbonate (EC:EMC = 1:1 in volume) with 1 wt% vinylene carbonate (VC),Not found,2020,An Effective Way of Improving the Performance of Ni-Rich LiNi0.82Co0.12Mn0.06O2 Cathode in Lithium-Ion Battery via Borate Coating,10.1002/ente.202000721
Yes,Thin film,LiCoO2,Lithium metal,Lithium borophosphate oxynitride (LiBPON),Not found,2013,The mixed former effect in lithium borophosphate oxynitride thin film electrolytes for all-solid-state micro-batteries,10.1016/j.electacta.2013.08.053
Yes,Coin,Not found,Graphitic carbon foam,1 M NaOTf in diglyme or 1 M NaOTf in tetraglyme,Not found,2018,Graphitic carbon foams as anodes for sodium-ion batteries in glyme-based electrolytes,10.1016/j.electacta.2018.03.084
Yes,Not found,Not found,Not found,"Polymer electrolytes based on PPO with 9-BBN moieties and lithium salts like LiSO3CF3, LiCO2CF3, or LiTFSI",9-BBN (9-borabicyclo[3.3.1]nonane),2004,Facile preparation of anion trapping polymer electrolytes by reaction between 9-borabicyclo[3.3.1]nonane (9-BBN) and poly(propylene oxide),10.1246/cl.2004.396
Yes,Coin,Not found,Lithium metal,1 M LiBOB:LiBF4 in EC/DEC (3:7 by wt.),LiDFOB (traces formed from LiBOB and LiBF4 blend),2013,Blends of lithium bis(oxalato)borate and lithium tetrafluoroborate: Useful substitutes for lithium difluoro(oxalato)borate in electrolytes for lithium metal based secondary batteries?,10.1016/j.electacta.2013.05.130
Yes,Not found,N-doped GNSs or P-doped GNSs,Not found,1 M LiNO3 + 0.5 M LiOH,Not found,2014,Hybrid electrolyte Li-air rechargeable batteries based on nitrogen- and phosphorus-doped graphene nanosheets,10.1039/c4ra00809j
Yes,Coin,LiFePO4,Lithium foil,LiPVPPB/PVDF-HFP composite membrane soaked in EC:PC (1:1),Not found,2014,"Synthesis, Characterization and Battery Performance of A Lithium Poly (4-vinylphenol) Phenolate Borate Composite Membrane",10.1016/j.electacta.2014.06.173
Yes,Not found,Not found,Not found,LiBH4 with LiCl additive,LiCl,2009,Stabilization of lithium superionic conduction phase and enhancement of conductivity of LiBH4 by LiCl addition,10.1063/1.3088857
Yes,Coin,LFP (Lithium Iron Phosphate),Graphite,0.6 M LiBOB + 0.1 M LiBF4 in EC/DEC/EMC (1:1:1 by volume),Not found,2020,Study on boron-containing electrolytes at extra-high temperatures for lithium-ion batteries,10.1039/d0se00529k
Yes,Flow battery (single cell with serpentine flow field),Not found,Graphite felt (boron-doped),"1 M V3+ + 3 M H2SO4 (negative), 1 M VO2+ + 3 M H2SO4 (positive)","Boron (doped into graphite felt, not added to electrolyte)",2018,Highly efficient and ultra-stable boron-doped graphite felt electrodes for vanadium redox flow batteries,10.1039/c8ta03388a
Yes,Not found,Not found,Not found,"LiBH4 with LiI (e.g., 3LiBH4·LiI)",LiI,2009,"Halide-Stabilized LiBH4, a Room-Temperature Lithium Fast-Ion Conductor",10.1021/ja807392k
Yes,Coin,Na2/3B0.11Mn0.89O2,Sodium metal,Solution of NaPF6 in PC (propylene carbonate),Not found,2017,Beneficial effect of boron in layered sodium-ion cathode materials - The example of Na2/3B0.11Mn0.89O2,10.1016/j.jpowsour.2017.08.012
Not found,Not found,Not found,Not found,Not found,Not found,2016,"Synthesis of Lithium Boracarbonate Ion Pairs by Copper-Catalyzed Multi-Component Coupling of Carbon Dioxide, Diboron, and Aldehydes",10.1002/anie.201602278
Yes,Coin,Not found,Silicon,"1 M LiPF6 in a mixture of ethylene carbonate (EC), ethyl methyl carbonate (EMC) and dimethyl carbonate (DMC) (1:1:1 by volume)",Not found,2012,Synthesis of Boron-Doped C60 Film Using Plasma-Assisted Thermal Evaporation Technique and its Electrochemical Characterizations,10.1080/1536383X.2010.542592
Yes,Not found,Not found,Not found,Not found,Not found,2018,Hybrid Organic-Inorganic Functionalized Dodecaboranes and Their Potential Role in Lithium and Magnesium Ion Batteries,10.1021/acs.jpcc.8b09850
Yes,Coin,LiFePO4,Lithium metal,PVdF-HFP/LiPBAB membrane soaked in EC/PC (1:1 v/v),Not found,2014,A gel single ion polymer electrolyte membrane for lithium-ion batteries with wide-temperature range operability,10.1039/c4ra02729a
Not found,Not found,Not found,Not found,Not found,Not found,2019,Electrochemical Exfoliation of Graphite to Fluorographene: An Effect of Degree of Functionalization on 2Br-/Br2 Redox Reaction,10.1002/slct.201902114
Yes,Coin,LiMn2O4,Graphite,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,TPFPB,2002,Using a boron-based anion receptor additive to improve the thermal stability of LiPF6-based electrolyte for lithium batteries,10.1149/1.1510321
Yes,Coin,Sulfur,Sodium metal,1 m NaClO4 in TEGDME,Not found,2019,Repelling Polysulfides Using White Graphite Introduced Polymer Membrane as a Shielding Layer in Ambient Temperature Sodium Sulfur Battery,10.1002/admi.201901497
Yes,Not found,Not found,Not found,1.0 M Na2SO4 or 0.05 M Fe(CN)6^3−/4− + 1.0 M Na2SO4,Not found,2020,Hybrid supercapacitors from porous boron-doped diamond with water-soluble redox electrolyte,10.1016/j.surfcoat.2020.126103
Yes,Coin,LiFePO4,Graphite,PVDF-HFP/LiPFB membrane soaked in EC/PC (1:1 v/v),Not found,2017,Overcoming the Ambient-Temperature Operation Limitation in Lithium-Ion Batteries by using a Single-Ion Polymer Electrolyte Fabricated by Controllable Molecular Design,10.1002/ente.201700410
Not found,Not found,"Li(Na)BCF2, Li(Na)B2C2F2",Graphite (mentioned as reference),1M LiPF6 in EC:DEC (1:1) (mentioned for compatibility),Not found,2020,Efficient potential-tuning strategy through p-type doping for designing cathodes with ultrahigh energy density,10.1093/nsr/nwaa174
Yes,Not found,Not found,Not found,EC-FEMC equimolar binary solutions containing 1.0 mol dm⁻³ LiPF6 or LiBF4,FEMC (fluoroethyl methyl carbonate),2003,Physical and electrolytic properties of fluoroethyl methyl carbonate,10.5796/electrochemistry.71.1201
Yes,Coin,Li[Ni0.33Mn0.33Co0.33O2],Graphite,1:1 stoichiometric amounts of LiX and BF3·D in EC:EMC (3:7 wt%) with L57 solvent,"BF3 carbonates (e.g., BF3·EC, BF3·EMC, etc.)",2020,"Investigation of Mixtures of BF3 Carbonates and LiX (X = OCH2CF3, OC(H)(CF3)2, CO2CF3) as Novel Electrolyte Systems for Lithium Ion Batteries",10.1149/1945-7111/ab8876
Yes,Not found,LiFePO4,Lithium metal with BN nanosheets,Garnet-type solid-state electrolyte (LLZTO),BN nanosheets (BNNS),2019,Highly Adhesive Li-BN Nanosheet Composite Anode with Excellent Interfacial Compatibility for Solid-State Li Metal Batteries,10.1021/acsnano.9b08803
Yes,Not found,Carbon-based commercial air cathode,Zinc,25 wt.% KOH,Li2O-2B2O3 (LBO),2008,Surface treatment of zinc anodes to improve discharge capacity and suppress hydrogen gas evolution,10.1016/j.jpowsour.2008.04.081
Yes,Not found,Not found,Not found,Poly(AN-co-PEGMA)/hBN/NaClO4 composite,"hBN (inorganic filler), NaClO4 (salt)",2017,Poly(AN-co-PEGMA)/hBN/NaClO4 composite electrolytes for sodium ion battery,10.1515/epoly-2017-0022
Yes,Coin,(CF_x)n,Lithium,"EC-DMC (1:2%, v) containing 0.8 M LiF and 1.2 M ABA#1 (Tris(1,1,1,3,3,3-hexafluoroisopropyl)borate)","ABA#1 (Tris(1,1,1,3,3,3-hexafluoroisopropyl)borate)",2006,A new chemical approach to improving discharge capacity of Li/(CFx)n cells,10.1016/j.jpowsour.2006.10.037
Not found,Not found,Not found,Not found,Not found,Not found,2017,"Complex Metal Hydrides for Hydrogen, Thermal and Electrochemical Energy Storage",10.3390/en10101645
Yes,Not found,Not found,Not found,Not found,Not found,2007,"A DFT study of electronic structures, energies, and molecular properties of lithium bis[croconato]borate and its derivatives",10.1016/j.electacta.2007.08.013
Yes,Coin,NCM811,Not found,1 M LiPF6 in ethylene carbonate (EC)-diethyl carbonate (DEC) mixture (1:1 volume ratio),Not found,2019,Enhanced high-voltage cycling stability of Ni-rich LiNi0.8Co0.1Mn0.1O2 cathode coated with Li2O-2B2O3,10.1016/j.jallcom.2019.07.176
Yes,Coin,Li0.5CoO2,Li-B alloy,"1.0 mol/L lithium hexafluorophosphate (LiPF6) dissolved in ethylene carbonate (EC), dimethyl carbonate (DMC), and ethyl methyl carbonate (EMC) at a volumetric ratio of 1:1:1",Not found,2021,In situ formed three-dimensional (3D) lithium-boron (Li-B) alloy as a potential anode for next-generation lithium batteries,10.1007/s12598-021-01708-1
Yes,Not found,Nitrogen-doped graphene/carbon nanotube composite,Lithium,Not found,Not found,2015,Hierarchical Nitrogen-Doped Graphene/Carbon Nanotube Composite Cathode for Lithium-Oxygen Batteries,10.1002/cssc.201501169
Yes,Laminated,LiCoO2,B-MCF,1.5 M LiBF4 in EC/GBL (1:3 by volume),Not found,2001,Laminated thin Li-ion batteries using a liquid electrolyte,10.1149/1.1420704
Yes,Coin,Not found,Lithium metal,1 M LiPF6 in EC/DEC (1:1 v/v) without additives,Not found,2017,Stitching h-BN by atomic layer deposition of LiF as a stable interface for lithium metal anode,10.1126/sciadv.aao3170
Yes,Coin,Li1.2Mn0.54Ni0.13Co0.13O2,Not found,1.0 mol L-1 LiPF6 in EC/DEC (1:1 by volume),Not found,2020,Enhanced Structural Stability of Boron-Doped Layered@Spinel@Carbon Heterostructured Lithium-Rich Manganese-Based Cathode Materials,10.1021/acssuschemeng.0c00870
Yes,Coin,Sulfur (polysulfide catholyte),Lithium metal,1 M LiTFSI with 2 wt% LiNO3 in DOL/DME (1:1 v/v),LiNO3,2020,Mechanically-robust structural lithium-sulfur battery with high energy density,10.1016/j.ensm.2020.08.018
Yes,Not found,Not found,Not found,Not found,Not found,2021,Organoboron-Containing Polymer Electrolytes for High-Performance Lithium Batteries,10.1002/adfm.202008632
Yes,Coin,LiMn2O4,MCMB,"0.5 M PFPBO–0.5 M LiF in PC/DMC (1:1, v/v) and others",PFPBO,2009,A pentafluorophenylboron oxalate additive in non-aqueous electrolytes for lithium batteries,10.1016/j.elecom.2009.10.015
Yes,Not found,Not found,Not found,Not found,Not found,2017,Enhanced conductivity of sodium versus lithium salts measured by impedance spectroscopy. Sodium cobaltacarboranes as electrolytes of choice,10.1039/c7cp02526b
Yes,Coin,Fluorinated graphite,Lithium,1 mol L⁻¹ LiClO₄ or LiBF₄ in propylene carbonate (PC),Not found,2006,Electrochemical performance of low temperature fluorinated graphites used as cathode in primary lithium batteries,10.1016/j.carbon.2006.05.013
Not found,Not found,Not found,Not found,Not found,Not found,2020,Progress in retrospect of electrolytes for secondary magnesium batteries,10.1016/j.ccr.2020.213478
Yes,Coin,MoB2-based (with sulfur/polysulfides),Lithium metal,"1 M LiTFSI in DOL/DME (1:1, v:v) with LiNO3 and Li2S6",Not found,2020,Borophene-like boron subunits-inserted molybdenum framework of MoB2 enables stable and quick-acting Li2S6-based lithium-sulfur batteries,10.1016/j.ensm.2020.07.040
Yes,Coin,Not found,Graphite,1M LiTFSI in EC:DEC =1:1,mesityldi(thien-2-yl)borane / boron-thiophene monomer (1),2018,Reduction of Charge-Transfer Resistance via Artificial SEI Formation Using Electropolymerization of Borylated Thiophene Monomer on Graphite Anodes,10.1149/2.0141803jes
Yes,Coin,Not found,Natural Graphite,1 M LiPF6 dissolved in a mixed solvent of ethylene carbonate (EC) and ethylmethyl carbonate (EMC) (3:7 vol),Not found,2013,Tuning the surface chemistry of natural graphite anode by H3PO4 and H3BO3 treatments for improving electrochemical and thermal properties,10.1016/j.carbon.2013.05.065
Not found,Not found,Not found,Not found,Not found,Not found,2021,New insights into carbon-based and MXene anodes for Na and K-ion storage: A review,10.1016/j.jechem.2021.04.031
Yes,Not found,Not found,Not found,"1 M LiPF6 in EC/DMC/DEC (1:1:1, v/v/v) or 1 M LiFePO4 in EC/DEC/EMC (1:1:1, v/v/v)","Ethyleneoxy phenylboronate derivatives (e.g., Compounds 11-16)",2015,Conformational Preferences and Electrochemical Performance of Ethyleneoxy Phenylboronate Electrolyte Additives,10.1007/s13369-015-1669-y
Yes,Not found,MnO2,Li-Mg-B alloy,LiNO3-KNO3 eutectic electrolyte,Not found,2013,A new thermal battery for powering borehole equipment: The discharge performance of Li-Mg-B alloy/LiNO3-KNO3/MnO2 cells at high temperatures,10.1016/j.jpowsour.2013.06.140
Yes,Coin,LiNi0.5Mn1.5O4,RuO2,Li1.5Al0.4Ga0.1Ge1.5(PO4)3 solid electrolyte,Not found,2020,Boron group element doping of Li1.5Al0.5Ge1.5(PO4)3based on microwave sintering,10.1007/s10008-020-04829-2
Yes,Not found,Sulfur,Lithium metal,DOL/DME (1:1 mixture),Not found,2020,Rational Design of 2D h-BAs Monolayer as Advanced Sulfur Host for High Energy Density Li-S Batteries,10.1021/acsaem.0c00492
Yes,Coin,LiFePO4,Lithium metal,1 M LiTFSI in BMPTFSI ionic liquid with 10 wt% crosslinker mixture (BAO and PEGDMA at 1:1 weight ratio),Boron allyloxide (BAO) as crosslinker,2016,Boronic ionogel electrolytes to improve lithium transport for Li-ion batteries,10.1016/j.electacta.2016.08.084
Yes,Coin,LiCoO2,Li metal,1 M LiPF6 in EC/DEC (1:1 by volume),Not found,2020,A cross-linked gel polymer electrolyte employing cellulose acetate matrix and layered boron nitride filler prepared via in situ thermal polymerization,10.1016/j.jpowsour.2020.229235
Yes,Coin,LiCoO2 or LiMn2O4,Graphite (MCMB),"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",TPFPB or THFPB,2008,New electrolytes for lithium ion batteries using LiF salt and boron based anion receptors,10.1016/j.jpowsour.2008.03.016
Not found,Not found,Not found,Not found,Not found,Not found,2020,Transparent Graphene/BN-Graphene Stacked Nanofilms for Electrocatalytic Oxygen Evolution,10.1021/acsanm.0c02307
Yes,Not found,Not found,Not found,Not found,Not found,2021,Ionic liquids and plastic crystals utilising the oxazolidinium cation: the effect of ether functionality in the ring,10.1039/d1qm00648g
Yes,Coin,Not found,Graphite,1mol L-1 LiPF6 in a mixture of ethylene carbonate (EC) and DMC (1:1 by volume),Not found,2020,Imparting Boron Nanosheets with Ambient Stability through Methyl Group Functionalization for Mechanistic Investigation of Their Lithiation Process,10.1021/acsami.0c05236
Not found,Not found,Not found,Not found,Not found,Not found,2019,Novel Graphene Hydrogel/B-Doped Graphene Quantum Dots Composites as Trifunctional Electrocatalysts for Zn-Air Batteries and Overall Water Splitting,10.1002/aenm.201900945
Yes,Not found,Not found,"Transition-metal borides (e.g., TiB2, VB2, Co-B, Fe-B)",2 mol L-1 KF solution (neutral aqueous electrolyte),Not found,2008,Electrooxidation and dischargeability of transition-metal borides as possible anodic materials in neutral aqueous electrolytes,10.1007/s10800-008-9753-6
Yes,Coin,Not found,Magnesium,"BCM electrolyte (tris(2H-hexafluoroisopropyl) borate and MgF2 in 1,2-dimethoxyethane)",Not found,2017,Novel Design Concepts of Efficient Mg-Ion Electrolytes toward High-Performance Magnesium-Selenium and Magnesium-Sulfur Batteries,10.1002/aenm.201602055
Not found,Not found,Not found,Not found,Not found,Not found,2020,"Microwave aided scalable synthesis of sulfur, nitrogen co-doped few-layered graphene material for high-performance supercapacitors",10.1016/j.electacta.2020.137209
