idx,DOI,title,appropriate,reason,format,battery_system,cathode_material,anode_material,electrolyte_confirmed,additive_full_name,additive_abbr_name,boron_additive_full_name,boron_additive_abbr_name,abstract,year
99,10.1016/j.electacta.2016.08.084,Boronic ionogel electrolytes to improve lithium transport for Li-ion batteries,No,"Boron allyloxide (BAO) is not a standard or commonly used additive in lithium-ion battery electrolytes; it may not provide the desired properties such as SEI formation or stability, and could potentially lead to decomposition or incompatibility with the LiTFSI salt and BMPTFSI solvent.",Coin,Li-ion battery,LiFePO4,Lithium metal,Not found,Not found,Not found,Not found,Not found,"['Boron containing ionogels were fabricated through chemical crosslinking of boron allyloxide with polyethylene glycol dimethacrylate in an ionic liquid electrolyte solution to obtain mechanically robust gels. Because of the relatively small concentration of crosslinking agent required to fully solidify the ionic liquid electrolyte, good characters of high ionic conductivity, high thermal stability, and good electrochemical stability were observed. A spectroscopic investigation of the boronic ionogels revealed that the lithium mobility was noticeably enhanced compared with ionogels fabricated without the boronic crosslinker, leading to promising Li-ion battery performance at elevated temperatures. (C) 2016 Elsevier Ltd. All rights reserved.']",2016
100,10.1016/j.jpowsour.2020.229235,A cross-linked gel polymer electrolyte employing cellulose acetate matrix and layered boron nitride filler prepared via in situ thermal polymerization,Not found,Not found,Coin,Li-ion battery,LiCoO2,Li metal,1 M LiPF6 in EC/DEC (1:1 by volume),Not found,Not found,Not found,Not found,"['The cross-linked gel polymer electrolyte (GPE) with cellulose acetate (CA) as matrix, poly (ethylene glycol) diacrylate (PEGDA) as cross-linking agent, and layered boron nitride (BN) as reinforcement is prepared for lithium-ion batteries (LIBs). Different from reported CA based polymer electrolytes, we adopt a simple in situ thermal polymerization method in the battery to prepare the GPE and polymer LIBs simultaneously. BN filler is uniformly dispersed in the cross-linked GPE and it interacts with not only the polymer matrix but also the anion in liquid electrolyte. Therefore, BN filler facilitates the transport of Li+ ions and delays the oxidative decomposition of the GPE. BN filler inhibits the evaporation of organic solvents at the low temperature, whereas it accelerates their decomposition at the high temperature. Due to the synergistic effect of CA matrix and BN filler, the obtained GPE exhibits a high ionic conductivity of 8.9 x 10(-3) S cm(-1) at 30 degrees C, an excellent electrochemical stability up to 5.5 V, and a good thermal stability. This work sheds light on the interaction between GPEs and the inorganic fillers, which is crucial for designing new polymer electrolyte systems.']",2020
101,10.1016/j.jpowsour.2008.03.016,New electrolytes for lithium ion batteries using LiF salt and boron based anion receptors,Yes,Reasonable,Coin,Li-ion battery,LiCoO2 or LiMn2O4,Graphite (MCMB),"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",tris(pentafluorophenyl) borane (TPFPB) or tris(2H-hexafluoroisopropyl) borate (THFPB),TPFPB or THFPB,"tris(pentafluorophenyl) borane, tris(2H-hexafluoroisopropyl) borate","TPFPB, THFPB","['The thermal and electrochemical stability, as well as compatibility with various bench mark cathode and anode materials of two new lithium fluoride salt (LiF) based electrolytes have been studied. These two new electrolytes are formed by using boron-based anion receptors, tris(pentafluorophenyl) borane (TPFPB), or tris(2H-hexafluoroisopropyl) borate (THFPB) as additives, which were designed and synthesized at Brookhaven National Laboratory (BNL), to dissolve the LiF salt in carbonate solvents. The transference number of Li+ for these electrolytes is as high as 0.7 and the room-temperature conductivity is around 2 x 10(-3) S cm(-1). The electrolytes containing propylene carbonate (PC) show superior low-temperature conductivity properties. The electrochemical window is approaching 5.0 V. It was also found that the new electrolytes work well with LiCoO2 or LiMn2O4 Cathodes. However, when PC containing electrolytes were used, PC co-intercalation is still a problem for graphite anodes. The formation of a stable solid electrolyte interface layer on the surface of anode in this type of electrolyte needs to be studied further. (C) 2008 Elsevier B.V. All rights reserved.']",2008
102,10.1039/d1qm00648g,Ionic liquids and plastic crystals utilising the oxazolidinium cation: the effect of ether functionality in the ring,No,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['The development of safer electrolytes is critical for the advancement of electrochemical energy storage applications. Ionic Liquids (ILs) and Organic Ionic Plastic Crystals (OIPCs) are attractive choices as electrolytes due to their high thermal stabilities and intrinsic ionic conductivities. However, fundamental understanding of the impact of cation and anion choice, to form ILs or OIPCs, is still lacking, particularly with regard to how this can affect the electrolyte properties. In this work, we explore the synthesis and characterisation of several oxazolidinium-based salts to understand the effect of the ether functional group in the cation ring. Specifically, we investigate the 3,3-dimethyloxazolidinium ([C(1)moxa](+)) cation, paired with dicyanamide ([DCA](-)), bis(fluorosulfonyl)imide ([FSI](-)), bis(trifluoromethanesulfonyl)imide ([TFSI](-)), tetrafluoroborate ([BF4](-)) and hexafluorophosphate ([PF6](-)) anions. In addition to investigating the influence of the anion, the effect of changing the cation side chain is examined with 3-ethyl-3-methyloxazolidinium bis(fluorosulfonyl)imide ([C(2)moxa][FSI]). Studies of thermal behaviour revealed that these oxazolidinium-based salts can be highly disordered and exhibit wide phase I temperature ranges. The transport properties of the salts were determined by examining the ionic conductivity, ion dynamics using solid-state Nuclear Magnetic Resonance (NMR) analysis, and the free volume through Positron Annihilation Spectroscopy (PALS). It was found that oxazolidinium-based salts exhibit faster ion transport than the equivalent pyrrolidinium-based salts, which is consistent with the larger free volume. Hence, oxazolidinium-based salts demonstrate scope as promising electrolytes for battery applications due to their high ionic conductivity and good thermal and electrochemical stability.']",2021
103,10.1021/acsami.0c05236,Imparting Boron Nanosheets with Ambient Stability through Methyl Group Functionalization for Mechanistic Investigation of Their Lithiation Process,Yes,Reasonable,Coin,Li-ion battery,Not found,Methyl-functionalized boron nanosheets,1 mol L-1 LiPF6 in a mixture of ethylene carbonate (EC) and dimethyl carbonate (DMC) (1:1 by volume),Not found,Not found,Not found,Not found,"['Although ultrahigh theoretical capacity has long been predicted for boron-based lithium-ion battery anodes, experimentally, boron has exhibited only limited performance and its lithiation process remains elusive. The two-dimensional (2D) form of boron is believed to be an ideal model system to investigate the lithiation behavior of boron; however, unfortunately, most reported 2D boron structures are prone to oxidation under ambient conditions. In this contribution, through a simultaneous etching and in situ functionalization process, we synthesized for the first time methyl-functionalized boron nanosheets, which remain stable up to 250 degrees C. Combining experiments and theoretical calculations, we found that lithiation of boron is realized through the formation of alloys such as LiB3 and Li3B14, while alloys with higher Li content such as Li5B are thermodynamically less favored. In addition, detailed electrochemical analysis reveals that side reactions on the boron surface may also contribute to the unsatisfactory performance of boron-based electrodes. Our findings suggest that reducing the enthalpy of formation of high Li content alloys and the choice of a less nucleophilic electrolyte are key to developing high-performance anodes based on novel boron materials. Our demonstration of stable 2D boron structures also paves the way for their fundamental study and practical applications.']",2020
104,10.1007/s10800-008-9753-6,Electrooxidation and dischargeability of transition-metal borides as possible anodic materials in neutral aqueous electrolytes,No,"The additive is not found, which may not meet the battery's electrolyte requirements for enhanced performance or stability.",Not found,Aqueous battery,Air electrode,"Transition-metal borides (e.g., TiB2, VB2, Co-B, Fe-B)",2 mol L-1 KF solution,Not found,Not found,Not found,Not found,"['A number of transition-metal borides were studied as anodic materials for neutral aqueous batteries. These borides are shown to have considerably high electrochemical activities in neutral electrolytes. The discharge capacities for TiB2 reach 1,350 mAh g(-1) at a constant current density of 50 mA g(-1), exceeding those for all the metal electrodes reported so far. Amorphous CoBx can deliver a discharge capacity of > 650 mAh g(-1), and even simply ball-milled FeBx can also give a discharge capacity of > 200 mAh g(-1). These results suggest the possible use of boride compounds as a large family of new anodic materials for constructing neutral aqueous batteries with high electrochemical capacity and rate capability.']",2008
105,10.1002/aenm.201602055,Novel Design Concepts of Efficient Mg-Ion Electrolytes toward High-Performance Magnesium-Selenium and Magnesium-Sulfur Batteries,Yes,Reasonable,Coin,Mg-ion battery,Se/C and S/C,Mg metal,BCM electrolyte (0.05 M MgF2 + 0.5 M THFPB in DME),Tris(2H-hexafluoroisopropyl) borate (THFPB),THFPB,Tris(2H-hexafluoroisopropyl) borate,THFPB,"['Developing high-voltage Mg-compatible electrolytes (>3.0V vs Mg) still remains to be the biggest R&D challenge in the area of nonaqueous rechargeable Mg batteries. Here, the key design concepts toward exploring new boron-based Mg salts in a specific way of highlighting the implications of anions are proposed for the first time. The well-defined boron-centered anion-based magnesium electrolyte (BCM electrolyte) is successfully presented by facile one-step mixing of tris(2H-hexafluoroisopropyl) borate and MgF2 in 1,2-dimethoxyethane, in which the structures of anions have been thoroughly investigated via mass spectrometry accompanied by NMR and Raman spectra. The first all-round practical BCM electrolyte fulfills all requirements of easy synthesis, high ionic conductivity, wide potential window (3.5 V vs Mg), compatibility with electrophilic sulfur, and simultaneously noncorrosivity to coin cell assemblies. When utilizing the BCM electrolyte, the fast-kinetics selenium/carbon (Se/C) cathode achieves the best rate capability and the sulfur/carbon (S/C) cathode exhibits an impressive prolonged cycle life than previously published reports. The BCM electrolyte offers the most promising avenue to eliminate the major roadblocks on the way to high-voltage Mg batteries and the design concepts can shed light on future exploration directions toward high-voltage Mg-compatible electrolytes.']",2017
106,10.1016/j.electacta.2020.137209,"Microwave aided scalable synthesis of sulfur, nitrogen co-doped few-layered graphene material for high-performance supercapacitors",No,"The additive is not found, making it impossible to assess appropriateness for the battery's electrolyte requirements.",Not found,Supercapacitor,Not found,Not found,6 M NaOH solution,Not found,Not found,Not found,Not found,"['Doping with heteroatoms has become an approach for improving the electrochemical performance of few-layered graphene. In this work, Sulfur-nitrogen co-doped few-layered graphene synthesized from the graphite flakes acid treated with H2SO4 and HNO3 followed by microwave irradiation. Sulfur-nitrogen co-doped few-layered graphene consists of less than 15 graphene layers with a high degree of graphitization. The supercapacitor exhibited a specific energy density of 15 Wh kg(-1) at a power density of 300 W kg(-1) at room temperature in aqueous electrolyte. The S, N-FLG electrodes show the specific capacitance of 298 F g(-1) at a current density of 1 A g(-1) land stable over 10,000 continuous charge-discharge cycles with 95% capacitance retention at 1 A g(-1). The obtained capacitance is due to maximum utilization of few-layered graphene sheets, highest intrinsic surface capacitance due to the synergetic effect of the formation of N-S-H hydrogen bonds and S, N co-doping in graphene aromatic rings. (C) 2020 Elsevier Ltd. All rights reserved.']",2020
107,10.1016/j.ssi.2017.07.004,Electrolyte loaded hexagonal boron nitride/polyacrylonitrile nanofibers for lithium ion battery application,Not found,Not found,Coin,Li-ion battery,LiCoO2,Lithium metal,"1 M lithium hexafluorophosphate (LiPF6) in ethylene carbonate and ethyl methyl carbonate (EC/DMC, 1:1 by volume)",Not found,Not found,Not found,Not found,"['In the present work, Novel hBN/polyacrylonitrile composite nanofibers were produced via electrospinning approach and loaded with electrolyte for rechargeable lithium-ion battery applications. The electrospun nanofibers comprising various hBN contents were characterized by using Fourier transform infrared spectroscopy (FT-IR), thermogravimetric analysis (TGA), X-ray diffraction (XRD) and scanning electron microscopy (SEM) techniques. The influence of hBN/PAN ratios onto the properties of the porous composite system, such as fiber diameter, porosity and the liquid electrolyte uptake capability were systematically studied. Ionic conductivities and electrochemical characterizations were evaluated after loading electrospun hBN/PAN composite nanofiber with liquid electrolyte, i.e., 1 M lithium hexafluorophosphate (LiPF6) in ethylene carbonate (EC)/ethyl methyl carbonate (EMC) (1:1 vol). The electrolyte loaded nanofiber has a highest ionic conductivity of 10(-3) S cm(-1) at room temperature. According to cyclic voltammetry (CV) results it exhibited a high electrochemical stability window up to 4.7 V versus Li+/Li. Li//10 wt% hBN/PAN//LiCO2 cell was produced which delivered high discharge capacity of 144 mAhg(-1) and capacity retention of 92.4%. Considering high safety and low cost properties of the resulting hBN/PAN fiber electrolytes, these materials can be suggested as potential separator materials for lithium ion batteries.']",2017
108,10.1002/anie.202506036,"Interweaving Covalent Organic Polymer Chains Into Two-Dimensional Networks: Synthesis, Single Crystal Structure, and Application for Stabilizing Lithium Metal Anode",No,Not found,Not found,Li-ion battery,NCM811,Lithium metal,Not found,Not found,Not found,Not found,Not found,"['Macroscopic weaving has been proven to be the most enduring and effective method for manufacturing fabrics to meet the practical needs of humanity for thousands of years. However, the construction of molecular structures with exquisite topologies and specific properties based on molecular weaving is still in its infancy. Herein, we designed and fabricated a two-dimensional (2D) woven covalent organic polymer (COP) network (named as CityU-46) driven by the dative N -> B bonds between the 1,4-bis(benzodioxa-borole)benzene (BACT) and 2,5-bis(4-pyridyl)-1,3,4-thiadiazole (BPT). The complex woven topology of CityU-46 was determined using a single-crystal X-ray diffraction technique, revealing that it features a well-defined two-over and two-under interweaving pattern at the molecular level. Due to its structural merits, CityU-46 can be used as an artificial organic solid-electrolyte interphase layer on the surface of Li metal anodes, significantly improving the stability and long-term performance of lithium metal cells.']",2025
109,10.1002/adma.202103178,Electrolyte Design Enabling a High-Safety and High-Performance Si Anode with a Tailored Electrode-Electrolyte Interphase,Yes,Reasonable,Coin,Li-ion battery,NMC532,Graphite,1.2 m LiFSI/0.05 m LiDFOB in DME/HFE/FEC (3:6:1 by vol),"Fluoroethylene Carbonate, Lithium Oxalyldifluoroborate","FEC, LiDFOB",Lithium Oxalyldifluoroborate,LiDFOB,"['Silicon (Si) anodes are advantageous for application in lithium-ion batteries in terms of their high theoretical capacity (4200 mAh g(-1)), appropriate operating voltage (<0.4 V vs Li/Li+), and earth-abundancy. Nevertheless, a large volume change of Si particles emerges with cycling, triggering unceasing breakage/re-formation of the solid-electrolyte interphase (SEI) and thereby the fast capacity degradation in traditional carbonate-based electrolytes. Herein, it is demonstrated that superior cyclability of Si anode is achievable using a nonflammable ether-based electrolyte with fluoroethylene carbonate and lithium oxalyldifluoroborate dual additives. By forming a high-modulus SEI rich in fluoride (F) and boron (B) species, a high initial Coulombic efficiency of 90.2% is attained in Si/Li cells, accompanied with a low capacity-fading rate of only 0.0615% per cycle (discharge capacity of 2041.9 mAh g(-1) after 200 cycles). Full cells pairing the unmodified Si anode with commercial LiFePO4 (approximate to 13.92 mg cm(-2)) and LiNi0.5Mn0.3Co0.2O2 (approximate to 17.9 mg cm(-2)) cathodes further show extended service life to 150 and 60 cycles, respectively, demonstrating the superior cathode-compatibility realized with a thin and F, B-rich cathode electrolyte interface. This work offers an easily scalable approach in developing high-performance Si-based batteries through Si/electrolyte interphase regulation.']",2021
110,10.1016/j.cap.2013.06.009,PEG crosslinked poly(vinylbenzene boronic acid) polymer electrolytes for Li-ion batteries,No,Additive not found in the provided information.,Not found,Li-ion battery,Not found,Not found,Crosslinked poly(4-vinylbenzeneboronic acid) with PEG and doped with CF3SO3Li,Not found,Not found,Not found,Not found,"['Poly(4-vinylbenzeneboronic acid), PVBBA was synthesized via free-radical polymerization of 4-vinylbenzeneboronic acid (4-VBBA) and followed by crosslinking with polyethylene glycol (PEG) with different molecular weights to produce boron containing crosslinked polymers. Prior to crosslinking, the materials were doped with CF3SO3Li at several stoichiometric ratios to get PVBBAPEGX-Y where X is the molecular weight of PEG and Y is the EO/Li ratio. The materials were characterized by using Fourier transform infrared spectroscopy (FT-IR), thermogravimetric analysis (TGA) and differential scanning calorimeter (DSC). The ionic conductivity of these novel crosslinked electrolytes was studied by dielectric-impedance spectroscopy. Li-ion conductivity of these polymer electrolytes depends on the length of the side units as well as the doping ratio. PVBBAPEG200-10 illustrated a satisfactory ionic conductivity of 3.1 x 10(-5) S/cm at 20 degrees C and 1.8 x 10(-3) S/cm at 100 degrees C. (C) 2013 Elsevier B.V. All rights reserved.']",2013
111,10.1002/celc.202000784,Mitigating the Shielding Effect of Ether Oxygen in Poly(ethylene glycol) on Boron Atoms in Boron-Doped Poly(ethylene glycol) Hybrid Polymer Electrolyte by Introducing Siloxane Spacers,Not found,Not found,Not found,Li-ion battery,LiFePO4,Lithium metal,LiTFSI in B-Six-PEGs polymer electrolytes with [Li+]:[EO] mole ratio of 1:10,Not found,Not found,Not found,Not found,"['Doping boron (B) atoms into poly(ethylene glycol) (PEG)-based solid polymer electrolytes (B-PEG) is believed to be an attractive method to increase the lithium-ion transference number (tLi+) because of the interaction between the electropositive B atoms and the anions of lithium salts. However, this effect can be largely impeded by the interaction between B and the electronegative ether oxygen atoms in the attached PEG molecular chains, which is referred to as a shielding effect. Enlarging the distance between the center B atoms and the electronegative ether oxygens is believed to be an effective way to reduce such shielding effect. In this work, different number of siloxane spacing groups (Si-x) are introduced in between the B atom and ether oxygen in the B-PEG macromolecules (B-Si-x-PEGsx=0,1,3,5). As the siloxane oxygen has less electronegativity to ether oxygen, the shielding effects should be weakened and the ability of B atoms to trap the anions of lithium salt will increase. As the introduction of siloxane groups into the B-Si-x-PEGs polymer electrolytes will also reduce the neat contents of both B and PEG, which has the opposite effect on the whole ionic conductivities andtLi+values, both the ionic conductivities andtLi+values of B-Si-x-PEGs electrolytes first increase then decrease along withxincreases from 0 to 5 when the [Li+]:[EO] mole ratio is fixed at 1 : 10. The peak value exists atx=1. Meanwhile, both the mobilities of Li(+)ions (confirmed via(7)Li nuclear magnetic resonance (NMR) results) and bis(trifluoromethane) sulfonimide (TFSI-) anions (confirmed from Raman spectra analysis) get their maximum values whenx=1. However, if both the concentrations of TFSI(-)and B atoms in B-Si-x-PEGs electrolytes are taken into consideration, the normalized diffusion coefficient of TFSI(-)anions obtained by molecular dynamic (MD) simulation decrease monotonically whenxincreases from 0 to 5. As the diffusion coefficient of TFSI(-)anions is determined by the interaction probability and strength of TFSI(-)and B atoms; these results confirm that the interaction between the B atoms and TFSI(-)anions increase withx. Namely, the deshielding effects of siloxane spacing groups on B atoms increase along with the increase ofxin the B-Si-x-PEGs polymer electrolytes, while it levels off whenxexceeds 3.']",2020
112,10.1021/acsami.0c16159,Interlinking Primary Grains with Lithium Boron Oxide to Enhance the Stability of LiNi0.8Co0.15Al0.05O2,Not found,Not found,Coin,Li-ion battery,LiNi0.8Co0.15Al0.05O2 (NCA),Lithium foil,1 M LiPF6 in ethylene carbonate and diethyl carbonate (1:1 volume ratio),Not found,Not found,Not found,Not found,"['Destructive effects of surface lithium residues introduced in synthesis and degradation of the microstructure and electrode/electrolyte interface during cycling of Ni-rich cathode materials are the major problems hindering their wide application. Herein, we demonstrate an exquisite surface modification strategy that can utilize lithium residues on the surface of LiNi0.8Co0.15Al0.05O2 to form a uniform coating layer of lithium boron oxide on the surface of the material. The resulting lithium boron oxide layer can not only efficiently serve as a protective layer to alleviate the side reactions at the electrode/electrolyte interface but also tightly interlink the primary grains of the LiNi0.8Co0.15Al0.05O2 material to prevent the material from degradation of the microstructure. As a result, the optimized lithium boron oxide-coated LiNi0.8Co0.15Al0.05O2. material exhibits a high initial discharge capacity of 202.1 mAh g(-4) at 0.1 C with a great capacity retention of 93.59% after 100 cycles at 2 C. Thus, the uniform lithium boron oxide coating endows the NCA material with excellent structural stability and long-term cycling capability.']",2020
113,10.1039/d1ta05410d,Surface-modified boron nitride as a filler to achieve high thermal stability of polymer solid-state lithium-metal batteries,Yes,Reasonable,Coin,Li-ion battery,LiFePO4,Lithium metal,PEO/LiTFSI with SiO2@BNNS filler,Silicon dioxide coated boron nitride nanosheets,SiO2@BNNS,Silicon dioxide coated boron nitride nanosheets,SiO2@BNNS,"['Solid polymer electrolytes with low density, low cost, and excellent processability have been the ideal choice for researchers. However, their thermal stability and mechanical properties are so inadequate that it is difficult for them to withstand a sufficiently high temperature and to effectively suppress Li dendrites. PEO cannot inhibit dendrite growth by itself, particularly when the battery is operated at a higher temperature (>80 degrees C) and the mechanical properties of PEO are significantly reduced. At high temperatures, the growth of lithium dendrites is an important factor affecting the cycle life of Li-metal batteries. Therefore, polymer electrolytes with high mechanical strength and excellent thermal stability can overcome the problems associated with Li-metal anodes and realize the application of rechargeable Li batteries in high-temperature situations. Herein, we prepared a polyethylene oxide (PEO) composite polymer electrolyte (CPE) with thermal stability and high mechanical strength via the modification of hexagonal boron nitride nanosheets (h-BNNS). The surface modification of h-BN enhanced the interface interaction between h-BNs and improved the thermal conductivity, thereby greatly enhancing the thermal stability of the battery. At the same time, the surface modification of h-BN enlarged the effective specific surface area of the filler, promoting the interaction with the Lewis acid-base of the anion, and helping the dissociation of Li salts to release more Li+ ions. This type of One Sagittal Two Piercing effect enabled the Li/LiFePO4 full battery with PEO/LiTFSI/SiO2@BNNS (PLSB) composite electrolyte to perform long-term cycles (900 cycles). Even when the battery was operated at a temperature as high as 150 degrees C, it could cycle stably for more than 1000 cycles at a rate of 2C, making the lithium metal battery suitable for operation at higher temperatures.']",2021
114,10.1021/acsaem.5c01006,Boron-Fluoride Anion-Derived Layers Facilitate Long-Cycle and High-Capacity Sodium-Ion Batteries,No,Not found,Coin,Sodium-ion battery,Not found,Hard carbon,High-content NaBF4 in G2 (diethylene glycol dimethyl ether),Not found,Not found,Not found,Not found,"['Ether-based electrolytes perform exceptionally well in sodium-ion batteries, but their compatibility with electrodes with a long life span remains poor. This study innovatively proposes a synergized ether electrolyte with a high-content NaBF4 salt strategy, enabling a uniform, fluoride- and boride-rich electrolyte interphase film on electrode surfaces. This interphase facilitates Na+ transport and inhibits electrolyte decomposition. Our results show that the boron-fluoride anion-derived interfacial film significantly helps the hard carbon anode to achieve a life span of over 10 months (1480 cycles) with an average Coulombic efficiency of up to 99.93%. This work provides valuable insights for designing advanced sodium-ion electrolytes and anion-derived interfacial films.']",2025
115,10.1149/2.003112esl,Decomposition Reaction of Lithium Bis(oxalato)borate in the Rechargeable Lithium-Oxygen Cell,No,Additive not found in the provided information.,Coin,Li-ion battery,Porous carbon with α-MnO2 catalyst,Metallic lithium,0.5 M LiBOB in PC,Not found,Not found,Not found,Not found,"['In the Li-oxygen battery, the reactivity of superoxide radicals with the electrolyte system during discharge is known to be one of the key parameters to determine the nature of discharge product. Here, we report that lithium bis(oxalato)borate, a common electrolyte salt, is readily decomposed by superoxide radicals. The solid discharge product from cells using this electrolyte salt was identified as lithium oxalate through ex-situ X-ray diffraction and infrared spectroscopic observations. The nucleophilic substitution reaction at the boron centre by superoxide radicals, followed by a series of reduction and gas evolution reactions, are proposed to account for the overall process which also has implications for other salts. (C) 2011 The Electrochemical Society. [DOI: 10.1149/2.003112esl] All rights reserved.']",2011
116,10.1016/j.jcis.2020.09.009,Engineered heat dissipation and current distribution boron nitride-graphene layer coated on polypropylene separator for high performance lithium metal battery,No,No additive information provided to evaluate appropriateness.,Coin,Li-ion battery,LiFePO4,Graphite,1.0 M LiPF6 in EC:DEC,Not found,Not found,Not found,Not found,"['Li metal as a battery anode has been intensively studied because of its high gravimetric capacity (3860 mAh g(-1)), a low standard electrode potential (-3.04 vs. SHE), a reasonable electronic conductivity and low density. However, lithium metal suffers from a continuous Li dendrite growth upon charge-discharge cycling, delivering a poor coulombic efficiency and consequently its early failure. Here, engineered bilayer separators demonstrate that a boron nitride-graphene (BN(x)Gr(y)) layer coated on one side of polypropylene (PP) membrane remarkably reduces the polarization and impedance, and significantly improve the performance and stability of Li/Cu half-cells. Moreover, Li/LiFePO4 full cell with the modified BN(50)Gr(50)/PP separator presents a remarkably stable 1000 charge-discharge cycles with a specific capacity of 114 mAh g(-1) at 1C-rate. The superiority of the modified separator is orginated from an effective synergistic effect between physico-chemical properties of Gr (reducing local current density) and BN (dissipating local heat) and its enhanced structural and mechanical stability. (C) 2020 Elsevier Inc. All rights reserved.']",2020
117,10.1039/c9ta05938e,"A borate-rich, cross-linked gel polymer electrolyte with near-single ion conduction for lithium metal batteries",Not found,Not found,Coin,Li-ion battery,LiFePO4,Lithium metal,1 mol/L LiTFSI in EC/DMC (1:1 vol%) with 3D-BGPE (borate-concentrated gel polymer electrolyte),Not found,Not found,Not found,Not found,"['Lithium metal batteries (LMBs) show tremendous potential in energy storage due to ultrahigh energy densities. Nevertheless, maintaining a stable solid electrolyte interphase (SEI) and suppressing the growth of dendrites are hard to achieve with conventional liquid electrolytes. Gel/solid polymer electrolytes are sought-after candidates to block dendrite growth, while they still suffer from poor ionic conductivity and an incompatible interphase. Herein, a borate-rich gel polymer electrolyte with a 3D cross-linked structure (3D-BGPE) is designed to settle these problems. By incorporating anion-trapping boron moieties into a 3D configuration via an in situ strategy, the 3D-BGPE presents high ionic conductivity (8.4 x 10(-4) S cm(-1)), near single ion conduction (Li+ transference number of 0.76) and constructs a stable and conductive SEI layer on the lithium anode. Accordingly, the LMBs employing the 3D-BGPE can effectively inhibit the dendrite growth and maintain 89.73% capacity retention after 400 cycles. A promising approach to design highly effective electrolytes for safe and long-life LMBs is provided in this work.']",2019
118,10.1021/ja9093814,Boron Esters as Tunable Anion Carriers for Non-Aqueous Batteries Electrochemistry,Yes,Reasonable,Not found,Li-ion battery,Not found,Not found,EC/DMC 50/50 (w/w),"Boron esters (e.g., diol-monoacid borate, triol borate, nitro-triol borate, monoalcohol-diacid borate)",Not found,"Boron esters (e.g., diol-monoacid borate, triol borate, nitro-triol borate, monoalcohol-diacid borate)",Not found,"['Compounds like LiF, Li2O, and Li2O2 have considerable importance in batteries; the first two are ubiquitous in the protective SEI at the negative electrode, or the result of conversion reactions with fluorides and oxides. The latter, Li2O2. forms from oxygen reduction in the much vaunted Li/air batteries. Mastering their solubility in Li-based electrolytes is viewed as essential for further progress in battery safety, lifetime, or capacity. Aprotic solvents cannot provide the H-bonds necessary to their dissolution, and simple practical solutions have yet to materialize. Here we disclose a novel and large family of boron esters of general formula Y-C((CH2O)(Z(1)O)(Z(2)O))B whose Lewis acidity stems from geometrical constraint and can be tuned via electron affinity either by Y = CH3 double right arrow Y = NO2 or Z(1,2) = CH2 double right arrow Z(1,2) = CO so as to partially or fully dissolve the above compounds both in battery solvent EC/DMC and in DMF. The extreme simplicity of synthesis and variability of these boron-based anion carriers, where the exchange rate is fast, are not only a valuable addition to coordination science but also a step forward to improve present battery systems.']",2010
119,10.1039/c3ra41167b,A class of sp3 boron-based single-ion polymeric electrolytes for lithium ion batteries,Not found,Not found,Not found,Li-ion battery,Not found,Not found,Gel polymer electrolyte membranes (GPEMs) made with PVDF and polymer composites in EC/PC solution (1:1 volume ratio),Not found,Not found,Not found,Not found,['A class of sp(3) boron-based polymeric compounds with highly exposed lithium cations is both thermally and electrochemically stable for use in Li-ion batteries. Syntheses of a variety of the sp(3) boron-based polymeric materials can be realized by taking advantage of the well-developed methods used for preparation of metal organic framework compounds.'],2013
120,10.1002/aenm.201300647,A Composite Gel Polymer Electrolyte with High Performance Based on Poly(Vinylidene Fluoride) and Polyborate for Lithium Ion Batteries,Yes,Reasonable,Coin,Li-ion battery,LiFePO4,Graphite,"1 mol L⁻¹ LiPF6 in EC/DMC/EMC (1/1/1, w/w/w)",Lithium polyvinyl alcohol oxalate borate,LiPVAOB,Lithium polyvinyl alcohol oxalate borate,LiPVAOB,"['A composite membrane based on electrospun poly(vinylidene fluoride) (PVDF) and lithium polyvinyl alcohol oxalate borate (LiPVAOB) exhibiting high safety (self-extinguishing) and good mechanical property is prepared. The ionic conductivity of the as-prepared gel polymer electrolyte from this composite membrane saturated with 1 mol L-1 LiPF6 electrolyte at ambient temperature can be up to 0.26 mS cm(-1), higher than that of the corresponding well-used commercial separator (Celgard 2730), 0.21 mS cm(-1). Moreover, the lithium ion transference in the gel polymer electrolyte at room temperature is 0.58, twice as that in the commercial separator (0.27). Furthermore, the absorbed electrolyte solvent is difficult to evaporate at elevated temperature. Its electrochemical performance is evaluated by using LiFePO4 cathode. The obtained results suggest that this gel-type composite membrane shows great possibilities for use in large-capacity lithium ion batteries that require high safety.']",2013
