idx,cell_type,CEI&SEI,additives,additives_abbr,temperatures,details,DOI,cathode,anode,electrolyte,title,abstract
457,LMB,Unspecified,Multi-arm boron-containing oligomer,MBO,Not found,Unspecified,10.1002/anie.202422169,LiFePO4 (LFP) and LiNi0.8Co0.1Mn0.1O2 (NCM811),Lithium metal,PEO-LiTFSI matrix with MBO solid plasticizer,Mixing Functionality in Polymer Electrolytes: A New Horizon for Achieving High-Performance All-Solid-State Lithium Metal Batteries,"['Solid polymer electrolytes (SPEs) are a key materials component for all-solid-state lithium metal batteries (ASSLMBs). In these membrane-like films, accelerating Li+ migration while enhancing the mechanical strength of SPEs is challenging. Herein, we introduce a new concept of supramolecularly organized, cross-linked polymer electrolyte (PCPE) by mixing an ion-conducting, multi-arm boron-containing oligomer (MBO) solid plasticizer into a polyethylene oxide (PEO)-lithium salt matrix. Studies reveal that the Lewis acid-base interaction between the Lewis-acidic boron sites of MBO and lithium-salt anions induces an amorphous MBO-salt assembly subphase with percolating nanochannels for rapid Li+ transport. Meanwhile, due to the structural compatibility of the multiple linear arms of MBO with PEO, a supramolecular polymer network is obtained which partly crystallizes around the ionic nanodomains, offering an PCPE with improved mechanical strength hosting interconnected ion transport pathways. The resulting PCPE shows simultaneously enhanced ionic conductivity, improved mechanical properties, and film interface stability, which enable a dendrite-free Li/Li symmetric cell which could be cycled over 2600 h. Excellent electrochemical performance is also demonstrated in a close-to-practical high capacity ASSLMBs.']"
458,LMB,Unspecified,Boron-doped graphene,BG,25°C,Unspecified,10.1021/acsami.4c18304,LiFePO4 (LFP),Lithium metal,PEO-based solid-state electrolyte with LiTFSI and boron-doped graphene (BG) filler,Boron-Doped Graphene as Anion-Trapping Reagent in Poly(ethylene oxide)-Based Solid-State Electrolyte,"['Although many protocols have been developed to enhance the ionic conductivity and lithium-ion transference numbers of the solid polymer electrolyte, it is still challenging to improve them simultaneously. Herein, we design and prepare boron-doped graphene (BG) as an anion trapper and blend it within a poly(ethylene oxide) (PEO)-based electrolyte. The well-dispersed BG sheets can reduce the crystallinity of PEO and afford numerous Lewis acid sites to effectively accelerate the dissociation of the lithium salt and trap the anions. Thus, the PEO-based electrolytes containing BG sheets exhibit a high ionic conductivity of 9.27 x 10-5 S cm-1 and lithium-ion transference number of 0.57 at 25 degrees C, which ensure the stable Li stripping/plating over 1000 h. The all-solid-state lithium-ion batteries assembled with the as-prepared electrolyte show excellent rate performance and cycling stability at 25 degrees C.']"
462,LMB,SEI,Boron Nitride Nanosheets,BNNs,30°C,"The incorporation of BNNs facilitates the formation of a stable SEI film, suppressing parasitic reactions and reducing interface impedance, as evidenced by XPS analysis showing reduced Li2CO3 formation and the appearance of Li3N, which promotes uniform Li deposition and dendrite suppression.",10.1021/acsapm.4c04140,LiFePO4 (LFP),Lithium Metal,[Li(SL)3][FSA] with PVDF-HFP and boron nitride nanosheets (BNNs),Sulfolane-Based Gel Polymer Electrolytes Enhanced by 2D Boron Nitride Nanosheets for Optimized Ion Dynamics and Stability in Lithium Metal Batteries,"['Lithium metal batteries (LMBs) offer tremendous potential due to their high energy density, but practical applications are limited by challenges such as dendrite formation, safety risks, and interfacial instability. This study introduces a composite gel polymer electrolyte (GPE) that systematically integrates sulfolane-based highly concentrated electrolytes (HCEs) with two-dimensional hexagonal boron nitride nanosheets (BNNs). Through advanced experimental characterizations, electrochemical measurements, and theoretical calculations, the composite GPE is shown to achieve enhanced mechanical strength, thermal stability, and superior Li ion transport properties. The incorporation of BNNs not only reinforces the electrolyte matrix but also facilitates selective Li ion transport via strong interactions between Li ions and the filler, as validated by theoretical studies. The optimized composite GPE demonstrates outstanding electrochemical performance, achieving a high ionic conductivity of 0.7 x 10-3 S cm-1 at 30 degrees C and stable cycling for over 1000 h in Li/Li symmetric cells and more than 300 cycles in Li/LiFePO4 cells, along with excellent rate capabilities. This work provides a comprehensive strategy for addressing the critical limitations of LMBs and establishes a robust framework for developing next-generation high-performance solid-state battery systems.']"
479,LMB,Unspecified,Bis(pinacolato)diboron,BDB,Not found,Unspecified,10.1016/j.est.2025.115596,NCM811,Lithium metal,"1 M LiPF6 in EC:DEC (1:1, v:v)",Application of a cost-effective boron-based electrolyte additive in high-voltage lithium metal battery,"[""Due to long-term operation under high voltage, the cathode of lithium metal battery undergoes parasitic reactions with the electrolyte, resulting in non-conductive polymers that severely affect the battery's electrochemical performance and kinetics. In addition, the safety performance of the battery is seriously compromised by severe lithium deposition on the lithium metal side. The use of electrolyte additives is one of the most costeffective strategies for improvement. A low-cost boron-based additive bis(pinacolato)diboron (BDB) has been proposed in this work which has relatively high activity during battery charging and discharging. A protective cathode electrolyte interface (CEI) film was formed by BDB on the surface of NCM811 in advance to resist HF and solvent erosion. Furthermore, the solid electrolyte interface (SEI) film that BDB participates in on the lithium metal surface exhibits high ion conductivity and effectively inhibits the formation of lithium dendrites, thereby ensuring the safe operation of lithium metal batteries. The lithium metal battery utilizing BDB not only exhibits optimal electrochemical performance with a high cut-off voltage of 4.6 V, but also demonstrates potential for further development in the realms of rapid charging and discharging.""]"
503,LMB,Unspecified,Tributyl borate,TBB,Not found,Unspecified,10.1016/j.jcis.2024.10.024,NCM811,Lithium metal,"In-situ polymerized 1,3-dioxolane with LiTFSI, TFB initiator, and TBB additive","A novel strategy to improve the electrochemical properties of in-situ polymerized 1,3-dioxolane electrolyte in lithium metal batteries","['The application of solid-state electrolytes (SSEs) is anticipated to enhance the safety performance of lithium metal batteries (LMBs). However, the progress of SSEs has been hindered by the unstable electrode-electrolyte interfaces (EEIs). In this study, in-situ polymerization of 1,3-dioxolane (DOL) is employed for the preparation of SSEs, with the addition of tributyl borate (TBB) to establish stable EEIs, particularly under high-voltage conditions. On one hand, the addition of TBB promotes the dissociation of lithium salts and increases the concentration of free Li+, resulting in an increase in room temperature ionic conductivity to 1.13 x 10-4 S cm-1 and an improvement in the Li+ transference number to 0.69 for the prepared poly-DOL electrolytes (PDE-TBB). Benefiting from the enhanced Li+ transport, the Li/PDE-TBB/Li symmetric cell exhibits a cycle life exceeding 1,000 h with a low polarization voltage as low as 12 mV, and the Li/PDE-TBB/LiFePO4 cell demonstrates exceptional cyclic stability over 800 cycles at 1C, with a coulombic efficiency exceeding 99.8 % and a capacity retention of 89.6 %. On the other hand, PDE-TBB exhibits improved stability under high-voltage conditions and the capacity to establish robust boron-rich cathode electrolyte interphase (CEI) on the LiNi0.8Co0.1Mn0.1O2 (NCM811) surface, thereby enhancing the structural stability of cathode materials and ensuring exceptional cycling performance of Li/PDE-TBB/NCM811cell. This work presents a promising strategy for developing novel ether-based SSEs suitable for high-voltage lithium metal batteries.']"
510,LMB,SEI,Tris(hexafluoroisopropyl) borate,THB,Not found,"The THB additive promotes the formation of a stable fluorine- and boron-rich SEI to improve interfacial stability and suppress Li dendrite growth, as well as enhancing LiTFSI dissociation and increasing Li+ transference numbers.",10.1039/d4sc02010c,LiFePO4 (LFP) and NCM523,Lithium Metal,2 M LiTFSI in DOL with 1 wt% THB,"In situ polymerization of 1,3-dioxolane and formation of fluorine/boron-rich interfaces enabled by film-forming additives for long-life lithium metal batteries","['In situ polymerized 1,3-dioxolane (PDOL) is widely utilized to construct solid polymer electrolytes because of its high room-temperature ionic conductivity and good compatibility with lithium metal. However, the current polymerization additives used in PDOL do not effectively contribute to the formation of a robust solid electrolyte interphase (SEI), leading to decreased cycle life. Herein, a film-forming Lewis acid, tris(hexafluoroisopropyl) borate (THB), is demonstrated not only to be a catalyst for the ring-opening polymerization of DOL, but also an additive for the formation of a stable fluorine- and boron-rich SEI to improve the interfacial stability and suppress the Li dendrite growth. Moreover, molecular dynamics simulations and experimental results demonstrate that the introduction of THB can promote the dissociation of lithium salt and release more Li+ while the boron site can effectively restrict the free movement of TFSI- anion, thus increasing Li+ transference numbers (0.76) and ensuring the long-term cycling stability of cells. By using THB-PDOL, a stable cycling of Li & Vert;Li symmetric cell for 600 h at a capacity of 0.5 mA h cm(-2) can be achieved. Furthermore, employing THB-PDOL in Li & Vert;LiFePO4 full cell enables a capacity retention of 98.64% after 300 cycles at 1C and a capacity retention of 95.39% after 200 cycles at a high temperature (60 degrees C). At the same time, this electrolyte is also suitable for the Li & Vert;NCM523 full cell, which also achieves excellent stability of more than 180 cycles. This film-forming Lewis acid additive provides ideas for designing low-cost, high-performance PDOL-based lithium metal batteries.']"
517,LMB,Unspecified,Lithium tetrafluoroborate,LiBF4,20°C,Unspecified,10.1002/adfm.202416634,LiNi0.5Mn1.5O4 (LNMO),Li-metal,1 M LiPF6 in EC/EMC (3:7 by vol.) with 1 wt.% LiBF4,Enhancing High-Voltage LNMO Cathode Performance in Li-Metal Batteries Via Anionic Electrolyte Additive-Integrated CEI Engineering,"[""An anionic-additive electrolyte system is introduced by incorporating Lithium tetrafluoroborate (LiBF4) into a conventional base electrolyte for high-voltage LiNi0.Mn-5(1).O-5(4) (LNMO) cathodes in lithium-metal batteries. At high voltages, the sacrificial oxidation of LiBF4 mitigates electrolyte degradation and forms a robust cathode electrolyte interface (CEI) enriched with boron and fluorine-based components, which protects against active material corrosion. Density Functional Theory (DFT) studies reveal that BF4- is more readily oxidized, while MD simulations validate the CEI's inorganic composition. Initial cycling with a specialized charge-discharge protocol ensures optimal use of the additive, resulting in a uniform, thin (4-6 nm) CEI on the LNMO cathode. The CEI formed in anionic-additive electrolyte system effectively suppresses transition metal dissolution and surface degradation, enhancing long-term cycling performance. The LiBF4-enhanced electrolyte also lowers overpotential and promotes more uniform Li deposition compared to the base electrolyte. At a 1 C-rate, the LNMO cathode with a Li metal anode and optimized electrolyte achieves a discharge capacity of 115 mA h g(-)(1) and an energy density of 540 Wh kg(-)(1) over 500 cycles. These findings underscore LiBF4's dual role in protecting LNMO cathodes and Li metal anodes, highlighting the critical role of additives in CEI development for advanced lithium-metal batteries.""]"
521,LMB,Unspecified,Cyano-functionalized boron nitride nanosheets,BN-CN,Not found,Unspecified,10.1016/j.jechem.2024.09.069,NCM811,Lithium metal,"PETEA-based polymer electrolyte with cyano-functionalized boron nitride nanosheets and liquid electrolyte (e.g., LiTFSI in DOL/DME)",Functionalized fillers as ions relay stations enabling Li+ ordered transport in quasi-solid electrolytes for high-stability lithium metal batteries,"['Quasi-solid-state lithium-metal batteries (QSLMBs) are promising candidates for next-generation battery systems due to their high energy density and enhanced safety. However, their practical application has been hindered by low ionic conductivity and the growth of lithium dendrites. To achieve ordered transport of Li* ions in quasi-solid electrolytes (QSEs), improve ionic conductivity, and homogenize Li* fluxes on the surface of the lithium metal anode (LMA), we propose a novel method. This method involves constructing ion relay stations in QSEs by introducing cyano-functionalized boron nitride nanosheets into pentaerythritol tetraacrylate (PETEA)-based polymer electrolytes. The functionalized boron nitride nanosheets promote the dissociation of lithium salts through ion-dipole interactions, optimizing the solvated structure to facilitate the orderly transport of Li* ions, resulting in an ionic conductivity of 2.5 x 10 3 S cm 1 at 30 degrees C. Notably, this strategy regulates the Li* distribution on the surface of the LMA, effectively inhibiting the growth of lithium dendrites. Li||Li symmetrical cells using this type of electrolyte maintain stability for over 2000 h at 2 mA cm 2 and 2 mAh cm 2. Additionally, with a high LiNi0.8Co0.1Mn0.1O2 (NCM811) loading of 8.5 mg cm 2, the cells exhibit excellent cycling performance, retaining a high capacity after 400 cycles. This innovative QSE design strategy represents a significant advancement towards the development of high-performance QSLMBs. (c) 2024 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by Elsevier B.V. and Science Press. All rights are reserved, including those for text and data mining, AI training, and similar technologies.']"
530,LMB,Unspecified,Tris(pentafluorophenyl) boron,TPFPB,"The TPFPB-functionalized CPE operates effectively across a wide temperature range from -15°C to 60°C, with ionic conductivities of 4.09 × 10⁻⁵ S cm⁻¹ at -15°C and 6.71 × 10⁻⁵ S cm⁻¹ at 60°C for specific formulations, and maintains excellent battery performance including high discharge capacities and cycle stability at these temperatures.",Unspecified,10.1016/j.cej.2024.158397,"LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive",Synergistic anion receptor-polymer regulate electrolyte solvation structure for high-rate solid-state lithium metal batteries,"['The advancement of solid-state lithium metal batteries (SSLMBs) with high rate capability possess challenges due to the relatively slow kinetics of ion transport properties and the lack of compatibility between the phases derived from solid-state electrolytes. Here, the tris(pentafluorophenyl) boron (TPFPB) is incorporated as an highly effective additive into a poly(ionic liquid)-based solid-state composite polymer electrolyte (CPE) to realize SSLMBs with enhanced high rate performance. The theoretical calculation and experimental analysis demonstrated that the TPFPB serves as an anion receptor agent and a modifier of the electrode/electrolyte interphase. In a notable advancement, the ionic conductivity, lithium transport kinetics, and electrochemical stability of CPE have been significantly enhanced. Additionally, TPFPB has demonstrated an impressive capacity to suppress undesirable side reactions with both the cathode and lithium anode. The presence of Li2O, Li2CO3 and an adequate amount of LiF derived from TPFPB in the interphase between the CPE and Li metal anode results in enhanced high-rate performance. The reasonable design enables the achievement of a considerable ion conductivity of 5.28 x 10-4 S cm- 1 (25 degrees C) and a lithium-ion transference number of 0.48 for CPE. The solid-state LiFePO4/CPE/Li batteries delivers excellent rate performance and cycle stability, with a high discharge specific capacity of 94.4 mAh g- 1 at 10 C (1 mA cm- 2) and a remarkable capacity retention of 76.5 % after 700 cycles at 8 C. Moreover, the TPFPB functionalized CPE is capable of operating in conjunction with the high-voltage LiNi0.85Co0.15Al0.05O2 cathode. The excellent performance of the as-prepared SSLMBs at a wide temperature range of -15 degrees C and 60 degrees C also verified that the effectiveness of TPFPB as additives into solid-state electrolytes.']"
531,LMB,SEI,Lithium bis(5-Aminosalicylic acid) borate (LiB5AB),LiB5AB,Not found,"The boron moieties in B-SIPE16 contribute to the construction of the SEI, forming a composite structure of organic and inorganic substances that is stable and has high ionic conductivity, with components including LiF and B-containing species.",10.1002/adfm.202402065,LiFePO4,Lithium metal,"B-SIPE16 (synthesized from LiB5AB, HDI, PEG2000, and TFSILi)",Dynamic Anion Enables Self-Healing Single-Ion Conductor Polymer Electrolyte for Lithium-Metal Batteries,"['Lithium-metal batteries (LMBs) are regarded as a promising option for high-energy-density storage systems. However, lithium dendrite growth in LMBs can damage electrolytes and cause short circuits, which severely limits the practical application of LMBs. It is highly desired to develop an advanced polymer electrolyte with self-healing capability and the ability to inhibit the growth of lithium dendrites for enhancing safety and prolonging the cycle life of the LMBs. Herein, sp3 boron-based single-ion conductor polymer electrolytes (B-SIPEs) with excellent self-healing capability and interfacial stability are constructed. The rapid bond exchange reactions of dynamic borate anions enable B-SIPE to fast self-heal in mild conditions, with a high self-healing efficiency of 87% within 30 min at an ambient temperature. In particular, B-SIPE displays a high Li+ transference number (0.88) and excellent lithium dendrite inhibition ability. The Li|B-SIPE|Li cells exhibit a stable overpotential over 2000 h without short-circuit. Additionally, the LiFePO4||Li cells with B-SIPE exhibit superior long-term cycling performance, with 93.5% capacity retention for 500 cycles. Significantly, B-SIPE is capable of self-healing the fracture in LiFePO4||Li cells and recovering the battery performance. These results demonstrate that the advanced self-healing single-ion conductor polymer electrolytes effectively promote the reliability and safety of LMBs. A novel charge-delocalized sp3 boron-based lithium salt, lithium bis(5-Aminosalicylic acid) borate (LiB5AB), is developed as a two-in-one anion building block to construct a self-healing single-ion conductor polymer electrolyte (B-SIPE16). This innovative electrolyte exhibits high self-healing efficiency, good lithium-ion conduction, and excellent inhibition of lithium dendrite growth. image']"
538,LMB,Unspecified,tris(pentafluorophenyl)borane,TPFPB,Not found,Unspecified,10.1002/adfm.202414816,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,Not found,Designing Bilayer Heterostructure Functional Polymer Electrolytes with Interfacial Engineering Strategy for High-Performance Lithium Metal Batteries,"['The uncontrollable lithium (Li) dendrites growth and complex electrode/electrolyte interface (EEI) problems are hindering the further application of high energy density lithium metal batteries (LMBs) in practice. Herein, a bilayer heterostructure gel polymer electrolyte (BGPE) is designed by directly curing functional boron-containing monomers on the electrode surface to ensure excellent conductivity while solving the interface problems, achieving durable high voltage resistance and Li dendrites suppression. The unoccupied p-orbital boron moiety of the 3D crosslinked network in BGPE not only improves the Li+ transference number (0.78), but also enhances the interfacial stability of the Li metal and inhibits the dendrites growth by anchoring PF6- anions and regulating the uniform Li deposition, thus ensuring a long cycle for Li/BGPE/Li cells. In addition, the functional additives tris(trimethylsilyl) phosphite and tris(pentafluorophenyl)borane can preferentially oxidize and decompose to form stable B, F, and Si-rich EEIs, and effectively regulate the uniform growth of EEI. Thus, the LiNi0.5Co0.2Mn0.3O2/BGPE/Li and LiFePO4/BGPE/Li full cells exhibit stable cycling and excellent rate performance. This work provides a guiding design direction to address the EEI problems for high energy density LMBs. A bilayer heterostructure gel polymer electrolyte (BGPE) for lithium metal batteries is prepared by in-situ curing functional boron-containing monomers on the electrode surface with functional additives tris(trimethylsilyl) phosphite and tris(pentafluorophenyl)borane. The multifunctional BGPE exhibits good ionic conductivity, high safety, stable interface without dendrite formation, and improved electrochemical performances. image']"
548,LMB,SEI,"boranetriyltris(oxy)tris(ethane-2,1-diyl) tris(2-methylacrylate) (B-HEMA)",B-HEMA,Not found,"The strong interaction between the electron-deficient B and the TFSI⁻ promotes TFSI⁻ decomposition, enabling the formation of a stable anion-derived mosaic-like solid electrolyte interphase (SEI) with Li₂S/LiSO₂F in the outer layer and LiF in the inner layer, which suppresses side reactions and reduces interface impedance.",10.1002/anie.202412280,LiCoO2 (LCO),Li-metal,AMPE (anion-modulated polymer electrolyte) with LiTFSI,Anion Modulation: Enabling Highly Conductive Stable Polymer Electrolytes for Solid-State Li-Metal Batteries,"['Solid polymer electrolytes (SPEs) are promising ionic conductors for developing high-specific-energy solid-state lithium metal batteries. However, developing SPEs with both high ionic conductivity and interfacial compatibility remains a challenge. Here, we propose a design concept of an anion-modulated polymer electrolyte (termed AMPE) for high-voltage Li metal batteries. Specifically, we design the AMPE by incorporating high-voltage-resistant and high charge density units with an anion receptor unit. The high-voltage-resistant and high charge density segments contribute to achieving a decent voltage tolerance of the polymer chains and ensure sufficient carrier ions. The anion receptor, represented by a boron-containing molecule, promotes the generation of free Li+ by dissociating anion-cation pairs. More importantly, the strong interaction between the electron-deficient B and the TFSI- in the matrix promotes the anion reduction to form a stable anion-derived mosaic-like solid electrolyte interphase on the Li-metal anode. As a result, the AMPE exhibits a high ionic conductivity of 3.80x10-4 S cm-1 and effectively suppresses lithium dendrites, enabling an all-solid-state Li|AMPE|LiCoO2 cell to achieve a cycle life of 700 cycles at an operating voltage of 4.40 V. This design concept would inspire efforts to develop high-performance SPEs for high-specific-energy solid-state lithium metal batteries.']"
549,LMB,Unspecified,Lithium Difluoro(oxalato)borate,LiDFOB,Not found,Unspecified,10.1002/advs.202405482,Not found,Lithium metal,"Poly(1,3-dioxane) (PDOL)-based with LiTFSI and LiDFOB",Universal Copolymerization of Crosslinked Polyether Electrolytes for All-Solid-State Lithium-Metal Batteries,"['Solid polymer electrolytes (SPEs) are pivotal in advancing the practical implementation of all-solid-state batteries. Poly(1,3-dioxane) (PDOL)-based electrolytes have attracted significant attention due to the pseudo-high conductivity achieved through sophisticated in situ polymerization methods; however, such PDOL-based electrolytes present challenges of crystallization over time and monomers residual during processing. In this study, integrating LiTFSI and LiDFOB as a universal copolymerization strategy for developing high-performance PDOL electrolytes with a wide range of epoxy crosslinkers is proposed. It is discovered that this approach leverages the protective effects of TFSI anions on the boron active center and catalyzes polymer chain growth via crosslinking. The homogenously crosslinked (benzene-centered) PDOL electrolyte exhibits remarkable thermo-mechanical stability (up to 100 degrees C), high ion migration number (tLi+ = 0.42), a wide electrochemical window (approximate to 5.0 V vs Li+/Li), and high ionic conductivity (4.5x10-4 S cm-1). Notably, the crosslinked PDOL electrolyte is in the all-solid-state with minimal monomer/oligomer residual, exhibiting no crystallization during relaxation, delivering a robust performance in all-solid-state lithium metal batteries. A universal copolymerization strategy of polyether electrolytes is reported using softer anions (TFSI-). This approach enables efficient in situ polymerization without monomers residual, yielding crosslinked polyether electrolytes with superior electrochemical physicochemical characteristics. image']"
563,LMB,Unspecified,Boron nitride nanofibers,BNNFs,Not found,Unspecified,10.1016/j.cclet.2023.108797,LFP (LiFePO4),Lithium metal,PEO/LiTFSI with 1% BNNFs,Boron nitride nanofibers enhanced composite PEO-based solid-state polymer electrolytes for lithium metal batteries,"['Polyethylene oxide (PEO)-based solid-state polymer electrolytes (SPEs) are limited by their poor cyclic stability and inferior ionic conductivity for applicating in high-safety, long-cycling and high-energy-density lithium metal batteries. Herein, porous boron nitride nanofibers (BNNFs) are filled into PEO-based SPE, which significantly suppresses Li dendrites growth and enhances the electrochemical performance of Li metal battery. BNNFs with high porosity have more active sites to connect with PEO, which can effectively reduce the crystallinity of the PEO matrix and enhance its ionic conductivity. Moreover, owing to the hardness and good stability of BNNFs, BNNFs/PEO/LiTFSI electrolyte exhibits a wider electrochemical window, better mechanical property and higher thermal stability compared with PEO/LiTFSI electrolyte. Consequently, the Li symmetric cell composed of 1% BNNFs/PEO/LiTFSI performs good cyclic stability ( > 1800 h), and the Li||1% BNNFs/PEO/LiTFSI||LFP full battery shows obviously improved performances in charge-discharge polarization voltage, discharge specific capacity, rate performance and cyclic stability than the Li||PEO/LiTFSI||LFP battery. (c) 2024 Published by Elsevier B.V. on behalf of Chinese Chemical Society and Institute of Materia Medica, Chinese Academy of Medical Sciences.']"
571,LMB,SEI,Boron-containing cross-linker,BRC,Not found,"The boron atoms in B-GPE can complex with anions through Lewis acid-base interactions, reducing concentration polarization and promoting uniform deposition of metal cations, which stabilizes the anode/electrolyte interface and forms a stable SEI film. Additionally, the SEI is mainly composed of decomposed organic materials and a large amount of inorganic material, as confirmed by XPS analysis.",10.1021/acsami.3c13883,LiFePO4 (LFP) and Na3V2(PO4)3 (NVP),Lithium metal and sodium metal,1M LiClO4/NaClO4 in EC:DMC (1:1 vol%) with B-GPE,Anion-Immobilized Gel Polymer Electrolyte with a High Ion Transference Number for High-Performance Lithium/Sodium Metal Batteries,"['Due to their high energy density, lithium/sodium metal batteries (LMBs/SMBs) are expected to be the next generation of energy storage systems. However, the further application of alkali metal batteries based on liquid electrolytes is limited due to increasing safety concerns. Gel polymer electrolytes (GPEs), which combine the advantages of the high ionic conductivity of liquid electrolytes and excellent mechanical properties of solid polymer electrolytes, are considered to play an irreplaceable role in the realization of high-performance alkali metal batteries. In this work, a flexible boron-containing GPE (B-GPE) with a cross-linked polymer network structure is prepared by a UV-induced process. The as-prepared B-GPE exhibits good ionic conductivity and has an extremely high ion transference number due to the electron-withdrawing effect of the boron moiety and the facile electrolyte uptake ability of the ethylene oxide chain. Furthermore, a gentle electrode/electrolyte contact is designed by a one-step in situ polymerization method, which can enhance ion transport within the electrode and at the electrode/electrolyte interface due to the presence of a continuous polymer phase for ion conduction. Therefore, LMBs and SMBs containing B-GPE are able to effectively inhibit the growth of dendrites while exhibiting excellent cycling stability. These comprehensive results indicate that this novel B-GPE possesses potential applications for high-performance alkali metal batteries.']"
585,LMB,Unspecified,Boron nitride nanosheets,BN,Not found,Unspecified,10.1016/j.apsusc.2023.158962,LiFePO4,Lithium metal,PEO-LiTFSI with boron nitride nanosheets,Room-temperature solid-state metallic lithium batteries based on high-content boron nitride nanosheet-modified polymer electrolytes,"['Polyethylene oxide (PEO)-based solid-state electrolytes have great potential in the development of solid-state metallic lithium batteries. However, it is difficult to apply them in metallic lithium batteries at room tempera-ture because of the poor ionic conductivity and the lithium dendrite-induced safety problem. Herein, high-performance composite polymer electrolytes (CPEs) are developed by filling high-content boron nitride (BN) nanosheets with well dispersity in the PEO-LiTFSI matrices. Theoretical calculations and experimental charac-terizations reveal that the BN nanofillers with a strong Lewis acid property can capture TFSI- to release more free Li+, reduce the polymer crystallinity, and facilitate the generation of rich BN/PEO-LiTFSI fast-ion interfaces. Thus, the ionic conductivity and the Li+ transference number of the CPEs at room temperature greatly increase to 4 and 2 times those of the pristine electrolyte, respectively. Hence, the Li/CPE/Li batteries can operate steadily at 0.05 mA/cm2 (0.05 mAh/cm2) and 30 degrees C for 1200 h. Furthermore, the LiFePO4/CPE/Li batteries show higher initial capacity of 132 mAh/g and capacity retention of 84 % after 90 cycles at 0.3C and 30 degrees C than the pristine electrolyte-based batteries (29 %). This study provides a feasible case to prepare excellent-performance CPE films containing high nanofiller content for room-temperature solid-state metallic lithium batteries.']"
632,LMB,SEI,3-(trifluoromethyl) phenylboronic acid,FBA,Not found,"The FBA additive promotes the formation of a stable SEI enriched with inorganic species like LiF and Li3N, which has high mechanical strength, high Li+ ion conductivity, and electronic insulation, effectively suppressing side reactions and reducing interface impedance.",10.1016/j.ensm.2023.102959,LiFePO4 (LFP),Lithium metal or Copper (Cu),1.0 M LiTFSI in DOL/DME (1:1 by volume) with 1.0 wt% LiNO3 and 1.0 wt% FBA,Dendrite-free lithium deposition enabled by interfacial regulation via dipole-dipole interaction in anode-free lithium metal batteries,"['The structure and composition of solid electrolyte interphase (SEI) on lithium (Li) electrode surface dictate Li plating/stripping behavior in Li metal batteries (LMBs), which is determined by the solvation structure of Li+ ion in the electrolyte. Herein, it is found that the dipole-dipole interaction between the electron-deficient boron (B) site in 3-(trifluoromethyl) phenylboronic acid (FBA) molecule and the TFSI- anion is capable of reducing the reduction stability of the TFSI- anion, and meanwhile promoting the participation of abundant TFSI- anions in the solvation sheath of Li+ ion in the electrolyte. Moreover, as an anion receptor, the FBA molecule with strong anionic affinity effectively enhances the contribution of NO3- anions in forming the SEI. Therefore, a favorable interphase enriched with LiF and Li3N is successfully constructed on the surface of Li electrode, which presents high mechanical strength, high Li+ ion conductivity and electronic insulation. As a result, Li plating/stripping reversibility can extend to over 1200 h with a low polarization potential of 42 mV in this anion receptor modified electrolyte. And the as-assembled anode-free Cu||LFP full cells can deliver excellent capacity retention of above 73.6% after 180 cycle.']"
635,LMB,Unspecified,Hexagonal boron nitride,NhBN,Not found,Unspecified,10.1021/acsaem.3c01784,LiNi0.8Co0.15Al0.05O2 (NCA),Lithium metal,"P(VDF-HFP)/LiTFSI/[EMIM][TFSI]/NhBN = 1:0.4:2.5:x (x=0,0.3,0.4,0.5,0.6) in methylethylketone solvent",Hexagonal BN-Mediated Highly Improved Li Transfer Kinetics for High-Performance All-Solid-State Lithium Metal Batteries,"['All-solid-state lithium metal batteries based on solid polymer electrolytes (SPEs) have long aroused the curiosity of scientists and engineers worldwide due to their superior electrochemical stability, security, and easy manufacturing into any required flexible film forms. However, developing and improving efficient SPEs with high Li-ion transference number and excellent mechanical strength still remains a challenging issue to enhance the high rate performance and stability by suppressing Li dendrite growth. In this study, on the basis of the Lewis acid-base theory, a homodispersed and self-standing SPE is designed and developed by introducing nanostructured hexagonal boron nitride as an efficient polymer matrix support using a facile straightforward loading approach on hydrophilic SiO2. The optimized SPE sample exhibits a high ionic conductivity of 0.916 mS cm(-1) at 25 degrees C, an improved Li-ion transference number of 0.641, and a good electrochemical stability (>5 V versus Li/Li+), as well as superior thermal stability and an improved mechanical modulus (16.8 MPa). Moreover, the Li|BN-50|Li symmetric cell exhibits highly reversible Li plating/stripping behavior characteristics over 700 h with a low overpotential of 20 mV at 0.1 mA cm(-2), indicating excellent Li dendrite inhibition ability. Furthermore, it is also demonstrated that the Li|BN-50|Ni0.8Co0.15Al0.05O2 cell delivers a high discharge capacity of 155.7 mA h g(-1) at 0.2 C and retains 82.2% of its initial specific capacity after 300 cycles.']"
