idx,additives,electrolytes,cathodes,anodes,types
413,LiBOB,"Proprietary electrolyte containing LiPF6, ethylene carbonate, propylene carbonate, diethyl carbonate, and additives including sulfur and boron (likely LiBOB and propane sultone)",Mixed cathode with LiMn2O4 and a layered metal oxide (proprietary),Graphite,LIB
541,LiBOB,1M LiPF6 in EC/DMC (3:7 vol%),"Li1.222Ni0.349Mn0.651O2 (Co-free lithium-rich layered oxide, LRLO)",Graphite,LIB
607,LiBOB,LiBOB in TEP and MFE blended solvents (BPF electrolyte),NCM811,Lithium metal,LIB
640,LiBOB,"PEO, TEGDME, BC, LiTFSI, LiBOB",LiFePO4,Lithium metal,LIB
687,LiBOB,1 M LiPF6 in EC:DMC (1:1) with 1 wt% LiBOB additive,LiCoO2 (LCO),Graphite,LIB
171,TPhBX,"0.25 M LiBOB, 0.25 M TPhBX, saturated CsF in tetraglyme (G4)",BiF3,Not found,ZIB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
223,BF3·DE,0.4 mol·L⁻�?Ca(TFSI)�?in EC:PC (50/50 wt%) with 2 wt% BF3·DE,Not found,Calcium metal,ZIB
301,TMSB,2M LiPF6 in EMC,Graphite,Not found,ZIB
449,TMSB,1M LiTFSI and 0.2M LiNO3 in 1:1 v/v DOL/DME,Carbon/sulfur composite,Lithium metal,LMB
679,TMSB,1.0 M LiPF6 in ethylene carbonate (EC) and dimethyl carbonate (DMC) solution (volume ratio 1:1) with 1 wt% tris(trimethylsilyl) borate (TMSB) additive,HPCNs@Se (Selenium infiltrated into hierarchically porous carbon spheres),Lithium metal,LiS
20,TMSB,1M LiPF6 in EC/EMC (v/v=1:1) with or without 0.5% TMSB,Li1.2Ni0.2Mn0.6O2,Graphite,LIB
516,TMSB,"1M LiPF6 and 0.02M LiDFOB in FEC, HFE, and FEMC (2:2:6 by volume) with 5 vol% TMSB",Carbon fluoride (CFx),Lithium metal,LIB
668,TMSB,1 mol L⁻�?LiPF6 in EC/EMC/DMC (1:1:1 by vol.) with 1% TMSB (weight),LiNi0.8Co0.15Al0.05O2 (NCA),Lithium foil,LIB
429,B(OH)3,GO-B-PVA/KOH gel electrolyte saturated with 6 M KOH solution,Activated carbon,Activated carbon,ZIB
431,DiOB-Py,Tetraglyme (G4) containing saturated CsF with 0.5 M DiOB-Py or DiOB-An,BiF3,Not found,ZIB
584,DiOB-Py,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
431,DiOB-An,Tetraglyme (G4) containing saturated CsF with 0.5 M DiOB-Py or DiOB-An,BiF3,Not found,ZIB
469,B doping,B-doped LTPO-based hybrid solid electrolyte with PVDF-HFP and LiTFSI,LiFePO4 (LFP),Li metal,ZIB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
534,BA,LiTFSI/tetraglyme (TEGDME)-based electrolyte with dissolved boric acid,B@BA2 (boron coated with boric acid),Lithium metal,ZIB
544,Na[B(hfip)4],1 M Na[B(hfip)4].3DME in EC:EMC (3:7 v/v),NVPF@C@CNT and NFMO,Sodium metal,ZIB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
431,DiOB-Py,Tetraglyme (G4) containing saturated CsF with 0.5 M DiOB-Py or DiOB-An,BiF3,Not found,ZIB
584,DiOB-Py,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
626,PRZ,"1 M LiBF4 in propylene carbonate (PC)/1,2-dimethoxyethane (DME) (1:1, v:v) with additives","Fluorinated carbon (CFx, x �?)",Lithium foil,ZIB
6,PRZ,1.0 M LiPF6 in ethylene carbonate (EC):ethyl methyl carbonate (EMC) (3:7 by weight),"NMC111, NMC532, NMC622",Graphite,LIB
626,PBF,"1 M LiBF4 in propylene carbonate (PC)/1,2-dimethoxyethane (DME) (1:1, v:v) with additives","Fluorinated carbon (CFx, x �?)",Lithium foil,ZIB
6,PBF,1.0 M LiPF6 in ethylene carbonate (EC):ethyl methyl carbonate (EMC) (3:7 by weight),"NMC111, NMC532, NMC622",Graphite,LIB
314,PBF,1M LiPF6 in EC/EMC (3:7 wt% ratio),"NMC (e.g., Li[Ni1/3Mn1/3Co1/3]O2 or Li[Ni0.42Mn0.42Co0.16]O2)",Graphite,LIB
377,PBF,1 mol L^{-1} LiPF_6 in EC/EMC (3:7 by mass),NMC442,Graphite,LIB
397,PBF,1 M LiPF6 in EC:EMC (3:7 by wt.) with various additives,LaPO4-coated NMC442,Graphite,LIB
626,LUTID,"1 M LiBF4 in propylene carbonate (PC)/1,2-dimethoxyethane (DME) (1:1, v:v) with additives","Fluorinated carbon (CFx, x �?)",Lithium foil,ZIB
314,LUTID,1M LiPF6 in EC/EMC (3:7 wt% ratio),"NMC (e.g., Li[Ni1/3Mn1/3Co1/3]O2 or Li[Ni0.42Mn0.42Co0.16]O2)",Graphite,LIB
626,TRIZIN,"1 M LiBF4 in propylene carbonate (PC)/1,2-dimethoxyethane (DME) (1:1, v:v) with additives","Fluorinated carbon (CFx, x �?)",Lithium foil,ZIB
671,h-BN,PVDF-HFP/LALZO/h-BN 10% hybrid solid electrolyte membrane with LiTFSI salt,LiFePO4 (LFP),Li metal,ZIB
546,h-BN,PEO/NaFSI with h-BN flakes,Not found,Not found,SIB
583,h-BN,Poly(ethylene oxide) (PEO) with NaNO3 salt and hexagonal boron nitride (h-BN) flakes,Not found,Not found,SIB
252,h-BN,PEO/LiTFSI/h-BN composite polymer electrolyte,LiFePO4,Lithium metal,LIB
707,H3BO3,PEO/LATP composite solid electrolyte,NMC811 (LiNi0.8Mn0.1Co0.1O2),Lithium metal,ZIB
539,H3BO3,"Li1.3Al0.3BxTi1.7-x(PO4)3 with boron compounds (B2O3, H3BO3) doped at 10 wt.%",Not found,Not found,LIB
707,LBOx,PEO/LATP composite solid electrolyte,NMC811 (LiNi0.8Mn0.1Co0.1O2),Lithium metal,ZIB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
171,LiBOB,"0.25 M LiBOB, 0.25 M TPhBX, saturated CsF in tetraglyme (G4)",BiF3,Not found,ZIB
43,LiBOB,Lithium bis(trifluoromethanesulfonyl)imide/lithium bis(oxalato)borate (LiTFSI:LiBOB = 0.95:0.05 by mol) in FEC/HFE/PFEMC (1:1:4 by weight),NCM622,Lithium metal,LMB
442,LiBOB,"1.0 M LiN(SO2CF3)2 (LiTFSI)/1,3-dioxolane (DOL) + dimethyl ether (DME) (1:1 by volume ratio) with 2 wt% LiNO3",Sulfur encapsulated in boron-doped graphene,Lithium metal,LMB
29,LiBOB,1M LiPF6 in EC:DMC (1:1 by wt.),LiMn2O4,Graphite,LIB
89,LiBOB,1.0 M LiBOB in DME/FEC/HFE (3/5/2 by volume),"LiCoO2, NCM811",Lithium metal,LIB
125,LiBOB,1 mol/L LiFSI in EC/DEC/EMC (1:1:1 volume ratio) or 0.6 mol/L LiFSI and 0.4 mol/L LiBOB in EC/DEC/EMC (1:1:1 volume ratio),LiFePO4,Graphite,LIB
143,LiBOB,1M LiPF6 in EC:DEC (1:1 by volume) with 1.5 wt% LiBOB additive,LiNi0.94Co0.06O2,Graphite,LIB
157,LiBOB,"0.6 M TPFPB and 0.6 M LiF in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O2 in PC/DMC (1:1 in volume) with or without 0.05 M LiBOB",Not found,Graphitized mesophase carbon microbeads (MCMB),LIB
258,LiBOB,Not found,Not found,Graphite,LIB
275,LiBOB,Polysiloxane-based membranes with LiDFOB or LiBOB at 0.61 mmol/g polymer,Not found,Not found,LIB
289,LiBOB,"Ether-based solid polymer electrolyte (SPE) with LiTFSI and LiBF4, and additives like LiBOB and PVC-derived modification",LiNi1/3Mn1/3Co1/3O2 (NMC),Graphite,LIB
295,LiBOB,"Poly[bis(2-(2-methoxyethoxy)ethoxy)-co-oxytrifluoroborate lithium phosphazene] with additives like LiBOB, LiTFSI, or LiFSI, and in gel form with EC/DMC",Not found,Lithium metal,LIB
341,LiBOB,1M LiPF6 in EC/EMC (3:7 by wt.) with 2 percent FEC,Not found,Graphite,LIB
351,LiBOB,1.0 M LiPF6 in ethylene carbonate (EC) and ethyl methyl carbonate (EMC) (4:6 in weight) with 0.1 M lithium bis(oxalato)borate (LiBOB),Li1.2Mn0.54Co0.13Ni0.13O2,Lithium metal,LIB
370,LiBOB,0.7 M LiBOB in EC/DEC (1:1 by volume),Not found,Graphite (MCMB),LIB
387,LiBOB,"1 mol L�? LiPF6 in EC/DEC/EMC (1:1:1, by volume)",LiNi1/3Co1/3Mn1/3O2,Lithium metal,LIB
398,LiBOB,Saturated solution (~0.6 mol kg⁻�? of LiBOB in EC-PC-DMC (1:1:3 by wt.),Not found,"Graphite, Carbon black, Li4Ti5O12",LIB
413,LiBOB,"Proprietary electrolyte containing LiPF6, ethylene carbonate, propylene carbonate, diethyl carbonate, and additives including sulfur and boron (likely LiBOB and propane sultone)",Mixed cathode with LiMn2O4 and a layered metal oxide (proprietary),Graphite,LIB
541,LiBOB,1M LiPF6 in EC/DMC (3:7 vol%),"Li1.222Ni0.349Mn0.651O2 (Co-free lithium-rich layered oxide, LRLO)",Graphite,LIB
607,LiBOB,LiBOB in TEP and MFE blended solvents (BPF electrolyte),NCM811,Lithium metal,LIB
640,LiBOB,"PEO, TEGDME, BC, LiTFSI, LiBOB",LiFePO4,Lithium metal,LIB
687,LiBOB,1 M LiPF6 in EC:DMC (1:1) with 1 wt% LiBOB additive,LiCoO2 (LCO),Graphite,LIB
72,BN,Li1.3Al0.3Ti1.7(PO4)3 (LATP) solid electrolyte with PEO-LiTFSI@BN interfacial layer,NCM523,Li metal,LMB
255,BN,LATP solid electrolyte with BN coating; additional PEO/LiTFSI or liquid electrolyte (1M LiPF6 in EC/DEC) for infiltration,LiFePO4 (LFP) and NMC (LiNi0.33Mn0.33Co0.33O2),Lithium metal,LMB
376,BN,Li5.7PS4.7Cl1.3 (LPSC1.3) with boron nitride coating,NCM811 (LiNi0.8Co0.1Mn0.1O2),Lithium metal,LMB
585,BN,PEO-LiTFSI with boron nitride nanosheets,LiFePO4,Lithium metal,LMB
214,BN,PEO-PVDF-LiTFSI with 12 wt% BN additive,Sulfur,Lithium metal,LiS
304,BN,Li7P3S11 with BN doping (LPS-BN),Sulfur/Graphite composite,Lithium metal,LiS
225,BN,PVDF-HFP/LiTFSI hybrid electrolyte with 1% BN addition,LiFePO4,Lithium metal,LIB
644,BN,PEO/PVDF/LiTFSI with g-C3N4 and BN additives,LiFePO4,Lithium metal,LIB
161,NHCABT,1.0 M LiPF6 in ethylene carbonate/diethyl carbonate (EC/DEC) with 0.75 wt% NHCABT and 1.0 wt% LiNO3,LiFePO4 (LFP) and NCM811,Lithium metal,LMB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
