title,battery_format,cathode,anode,electrolyte,additives,DOI
2D (Boron Nitride/Graphene/Molybdenum Disulfide) Composite-Modified Separator for High-Performance Li-S Batteries,[],[sulfur, lithium, [], []],10.1021/acs.energyfuels.5c02545
Unfolding the Network Structure of [Pyr14Cl/(BCl3)0.25]/(δ-MgCl2)x Ionic Liquid Using the BCl4- Probe,[],[magnesium battery, magnesium, ionic liquid-based electrolytes, delta-MgCl2],10.1002/sstr.202500157
Unveiling the Favorable Synergy of ZIF-9 and Borocarbonitride on rGO as a Bifunctional Electrocatalyst for Hydrogen and Oxygen Evolution Reactions in Alkaline Media,[],[ZIF-9 + BCN + rGO/CC (bifunctional catalyst), ZIF-9 + BCN + rGO/CC (bifunctional catalyst), 1 M KOH, []],10.1021/acs.langmuir.5c02189
"First-principles study on the role of Ti, V, and Sc catalysts in enhancing the catalytic effects of boron oxide monolayer for efficient Lithium-selenium batteries",[],[selenium-based cathode, lithium metal anode, [], Sc-doped boron monoxide monolayer additive],10.1016/j.flatc.2025.100918
Adsorption of Fluorinated Ether Electrolyte Solvent Molecules on Boron Nitride Nanosheets Studied by Solid-State NMR and Computational Methods,[],[ [], [], [TTE-based electrolyte], [boron nitride] ],10.1021/acs.jpclett.5c01962
Adaptive 3D Cross-Linked Single-Ion Conducting Polymer Electrolytes Enable Powerful Interface for Solid State Batteries,[],[NCM811, lithium metal, single-ion conducting polymer electrolytes (SICPEs), []],10.1002/anie.202505232
Versatile defect-laden boronizing hard carbon for superior sodium-ion battery efficacy,[],[hard carbon anode, B-doped hard carbon anode, sodium tetraphenylborate precursor, sodium-ion battery system,10.1016/j.cej.2025.166436
"N-heterocyclic carbene as a potent LiNO3-solubilizer, Li+-solvation regulator and solid-electrolyte interphase enhancer for highly durable Lithium metal batteries",[],[LiFePO4 or NCM811, lithium metal, carbonate-based electrolyte, NHCABT and LiNO3],10.1016/j.cej.2025.166397
Nacre-inspired hybrid interface enabling controlled lithium deposition via ion modulation for lithium-sulfur batteries,[],[sulfur, lithium metal, [], [polyethylene oxide,10.1007/s42114-025-01380-4
Upcycling Waste Pyrolytic Carbon Black into Sustainable Ultrahigh Performance Anode for Sodium-Ion Batteries via Multi-Chemistry and Engineering Synergism,[],[sodium-ion battery, solid waste-derived carbon anode, pyrolytic carbon black (CBp), electrolyte system not specified,10.1002/adfm.202514035
Modifying Li2B12H12 to become a highly electrochemically stable solid electrolyte,[],[high-voltage cathode, Li anode, Li2B12H12-based solid electrolyte, []],10.1039/d5ta02774h
Macromolecular Boron-Based Salt Enables Dense Interphases for Long-Cycling Lithium-Sulfur Batteries,"[coin battery, pouch battery]",[sulfur, lithium metal, polysulfide-containing electrolyte, lithium perfluoropinacolatoborate (LiFPB)],10.1002/adma.202505762
High-Strength Ultrathin Solid-State Electrolyte with Ion-Rectifying Honeycomb-Like Skeleton for Lithium Metal Batteries Free from External Pressure,[pouch battery],[NCM811, lithium metal, solid-state electrolyte, boron nitride nanofibers and lithiated nafion],10.1002/adfm.202511558
Stabilizing Solid-State Li Metal Batteries via a Poly(ethylene oxide)-LiTFSI@Boron Nitride Interfacial Layer,[],[LiNi0.5Co0.2Mn0.3O2, Li metal, LATP solid electrolyte with PEO-LiTFSI@BN interfacial layer, BN],10.1002/batt.202500386
"Correlating the mechanism, kinetics, and SEI formation of a boron-doped graphene anode for high-performance alkali ion batteries",[],[, boron-doped thermally exfoliated graphene (BTEG), , ],10.1039/d5ta01263e
High performance h-BN-rGO-Se anode for fast-charging and high current density sodium-ion batteries,[coin cell],[NVP, h-BN-rGO-Se, sodium-based, []],10.1016/j.jpowsour.2025.237839
Synergistic LiBO2/CeF3 hybrid coating engineering for chemically stabilized cathode-electrolyte interphase in nickel-rich cathodes,[pouch battery],[LiNi0.82Co0.12Mn0.06O2, [], [], [CeF3/H3BO3]],10.1007/s12598-025-03403-x
Enhancing Safety in Li-S Batteries: Mitigating Thermal Instabilities via Electrolyte and Separator Pair Optimization,[],[sulfur, lithium, dimethyl ether/dimethoxy ethane/dimethoxy sulfide/acetonitrile, boron nitride/titanium dioxide/polyethylene glycol],10.1002/ente.202500550
Stabilization of Phase Transition Process and Lattice Oxygen of O3-Layered Oxide Cathode for Sodium-Ion Battery via Dual-Doping Strategy,[],[Na(Ni1/3Fe1/3Mn1/3)0.98Al0.02B0.02O2, [], [], []],10.1002/aenm.202502592
Enhancing moisture and electrochemical stability of the Li5.7 PS4.7 Cl1.3 electrolyte by boron nitride coating for all-solid-state lithium metal batteries,[],[LiNi0.8Co0.1Mn0.1O2, lithium metal, Li-5.7PS4.7Cl1.3 sulfide solid-state electrolyte, boron nitride coating],10.1016/j.cclet.2024.109775
High Li+ Transference Number Electrolyte Enabled by Fluoride Acceptor for Low-Temperature Li-Ion Batteries,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [ethylene carbonate-free solvents, methyl acetate],10.1021/acsenergylett.5c01343
Novel fast Na+ conducting rare earth-free Na5YSi4O12-type borosilicate glass-ceramics,[],[ [], [], [Na5RSi4O12-type sodium-ion conductive glass-ceramics], [] ],10.1016/j.ceramint.2025.03.292
Super electrolyte-philic all-inorganic ceramic separators for highly robust lithium batteries,[],[LiFePO4, Li, , ],10.1016/j.ensm.2025.104389
Designing High-Temperature Stable Electrolytes: Insights from the Degradation Mechanisms of Boron-Containing Additives,[],[Ni-rich cathode, anode not specified, electrolyte with boron-based additives, lithium tetraborate,10.1021/jacs.5c06741
"Triphasic Interface Engineering with Metallic Sn/N, B Co-Doped Carbon Matrix for Boosting Reaction Kinetics and Cycling Stability in Lithium-Sulfur Batteries",[],[sulfur, lithium, [], []],10.1002/smll.202503534
Unveiling Solid-State Electrochemical Oxidation of LiBH4 and Li2B12H12 for High-Voltage All-Solid-State Batteries,[],[4 V-class cathodes, metallic anodes, hydridoborate solid electrolytes, []],10.1021/acsaem.5c01264
Exploring the surface-stabilized Ni-rich NCM cathode material by embedding yttrium and borate-integrated interfaces for lithium-ion batteries,[],[nickel-rich layered cathode materials, [], [], yttrium borate],10.1016/j.jallcom.2025.181419
Colloidal Hot-Injection Synthesis of CuBSe2 Nanocrystals: Tetragonal Chalcogenide Templates for Superionic Lithiation Pathways,[],[solid electrolyte, lithium metal (inferred), [], []],10.1002/sstr.202500238
Boron-Fluoride Anion-Derived Layers Facilitate Long-Cycle and High-Capacity Sodium-Ion Batteries,[],[hard carbon anode, sodium-ion battery system, ether-based electrolyte with high-content NaBF4 salt, []],10.1021/acsaem.5c01006
Electro-boost in-situ formation of poly(tetrahydrofuran) to enhance interfacial compatibility and charge transfer for solid polymer electrolyte,[],[Li-O-2 battery, Li metal, poly(tetrahydrofuran) (PTHF) electrolyte, BF3 coordination bonds],10.1016/j.eurpolymj.2025.114016
Anionic Metal-Organic Framework as an Ultrafast Single-Ion Conductor for Exceptional Performance Rechargeable Zinc Batteries,[],[NH4V4O10, zinc, anionic MOF single Zn2+ conductor, []],10.1021/jacs.5c08566
The Origin of Improved Performance in Boron-Alloyed Silicon Nanoparticle-Based Anodes for Lithium-Ion Batteries,[],[silicon-boron alloy anode, , , ],10.1002/aenm.202501074
High-Voltage Fluoride-Free Electrolytes for Ni-Rich Cathodes Offering Superior Water Resistance,[],[LiNi0.8Co0.1Mn0.1O2 (NCM811), lithium metal, high-voltage fluoride-free electrolyte (HVFFE), []],10.1021/acssuschemeng.5c00933
"Advanced Electrolyte Additives for Lithium-Ion Batteries: Classification, Function, and Future Directions",[],[], [], [], [boron-based,10.1021/acs.jpcc.5c01331
Ordered Lithium Deposition on Lithium Metal Anode Controlled by Boron-doped Carbon Dots from Solid-state Synthesis,[],[LiFePO4, lithium metal, carbonate-based electrolytes, boron-doped carbon dots],10.7503/cjcu20240185
Semi-Chelation Solvation Enables High Interface Compatibilities with both Anode and Cathode in a Bulky Mg[B(HFIP)4]2 Electrolyte,[],[Prussian blue, magnesium, Mg[B(HFIP)4]2/DME, []],10.1002/adfm.202505843
Enhanced Ionic Conductivity and Electrochemical Properties of Li2B12H12/ZrO2 Nanocomposites for All-Solid-State Lithium Metal Batteries,[],[TiS2 or LiFePO4, Li metal, Li2B12H12/ZrO2 nanocomposite, []],10.1021/acsami.5c01939
Production of high capacity porous nickel borides via novel molten salt electrolysis,[],[Ni-boride powders, , , ],10.1016/j.solidstatesciences.2025.107889
Engineering Atomically Co-N3B/C Configuration for Rigid-Soft Coupling SEI in High-Performance Sodium-Ion Batteries,[],[, Co-N3B/C anode, fluorinated electrolyte, ],10.1002/adfm.202500255
B/N-Codoped Porous Carbons as Metal-Free and Binder-Free Electrode Material for Supercapacitors,[],[metal-free, binder-free, 1 M H2SO4, []],10.1002/chem.202500800
"Interweaving Covalent Organic Polymer Chains Into Two-Dimensional Networks: Synthesis, Single Crystal Structure, and Application for Stabilizing Lithium Metal Anode",[],[lithium metal anode, , , CityU-46],10.1002/anie.202506036
Edge-Delocalized Electron Effect on Self-Expediating Desolvation Kinetics for Low-Temperature Li―S Batteries,[pouch battery],[sulfur, lithium metal, lean electrolyte (5 μL mg⁻¹), boron-doped MXene/TiO₂ Schottky heterojunction (SH-MTB)],10.1002/adfm.202508225
The Role of Hexagonal Boron Nitride (h-BN) in Enhancing Electrolytes for Safer and Efficient Lithium-Based Batteries,[],[lithium ion and lithium metal batteries, [], [], hexagonal boron nitride (h-BN)],10.1002/celc.202500011
In Silico Studies Show that -OBO Units Bound to Stable Boron Cages in YB11(OBO)12- (Y = C/Si) Anions Provide a Desirable Borate-Rich Solid Electrolyte Interface in Ca-Ion Batteries,[],[calcium-ion battery, calcium anode, YB11X12- (Y = C/Si and X = -BO/OBO) anions, []],10.1002/cssc.202500154
Tailoring Anion-Enriched Solvation Structures in Phosphate-Based Electrolytes for Safety-Enhanced Lithium Metal Batteries,"[coin battery, pouch battery]",[LiNi0.9Co0.05Mn0.05O2, lithium metal, 0.7 M LiDFOB in TMP solvent, []],10.1002/adfm.202504367
Morphology and electron regulation of B-WS2@MXene nanosheet array heterojunctions to upgrade the capacity and longevity of lithium-sulfur batteries,[pouch battery],[sulfur, lithium, lean electrolyte (5 μL mg⁻¹), []],10.1039/d5ta02390d
Construction of high-throughput interface phase using boron containing anions to regulate solvation structure and achieve high-performance sodium metal batteries,[cylindrical battery],[NaNi0.33Fe0.33Mn0.33O2 (NFM), Hard Carbon (HC), BE-NaDFOB electrolyte, sodium difluoro-oxalate borate (NaDFOB)],10.1016/j.nanoen.2025.111083
"Nanoengineering of Boron-Based Materials for Lithium Batteries: Advances, Challenges, and Prospects",[],[Li-ion, Li-S, , ,10.1002/smtd.202500208
Fast-Charging Long-Life Solid-State Sodium Metal Batteries Enabled by 2D Boron Nitride Nanosheets Based Quasi-Solid-State Electrolytes,[],[Na3V2(PO4)3, sodium metal, photopolymerized ethoxylated trimethylpropane triacrylate based quasi-solid-state electrolytes, boron nitride nanosheets],10.1002/aenm.202500776
Constructing a 5.2 V High-Voltage Electrolyte via TMSB Additive Enables Ultrahigh Rate Performance Graphite-Based Dual-Ion Batteries,[],[graphite, [], 2 M LiPF6-solved EMC electrolyte, Tris(trimethylsiloxy)boron (TMSB)],10.1021/acs.nanolett.5c00896
What limits the rate of thermally activated self-discharge of nickel oxyhydroxide electrodes?,[],[nickel (oxy)hydroxide, [], alkaline, []],10.1016/j.ssi.2025.116815
Partial boronization of transition metal within double heterostructure nanosheet achieves high-rate and long-cycling lithium-sulfur batteries,[],[sulfur, lithium, [], []],10.1016/j.jcis.2025.137618
Investigating wetting and formation behavior of consumer format pouch cells utilizing ultrasound,[pouch battery],[],[graphite],[],[].,10.1016/j.jpowsour.2025.236988
"Fluorine-, Nitrogen-, and Boron-Functionalized Polymer Electrolytes for Advanced Lithium Metal Batteries",[],[lithium metal cathode, lithium metal anode, polymer electrolyte system, []],10.1021/acsnano.5c01430
Failure mechanism of sulfurized polyacrylonitrile (SPAN) cathode induced by boron-contained lithium salt,[],[sulfurized polyacrylonitrile (SPAN), lithium metal, LiDFOB/LiPF6/LiTFSI electrolyte, []],10.1016/j.ensm.2025.104243
Anion-diluent synergistic strategy for improved interfacial stability in lithium metal batteries,"[coin battery], [pouch battery]",[LiCoO2, NCM811], [Li metal], [ether-based electrolyte],10.1016/j.ensm.2025.104239
"Bifunctional sodium tetrakis [3,5-bis(trifluoromethyl)phenyl] borate additive for long-lifespan sodium-ion batteries with NaNi0.33Fe0.33Mn0.33O2 cathode",[pouch battery],[NaNi0.33Fe0.33Mn0.33O2, hard carbon, NaPF6 in EC/DMC/FEC, sodium tetrakis[3,10.1016/j.cej.2025.162144
Boron cluster leveraged polymeric building blocks,[],[solid polymer electrolytes (SPEs), metal ion batteries, [], []],10.1039/d4cs01288g
Designing boron-based anion acceptors as electrolyte additives for energy-dense lithium metal batteries,[],[LiNi0.8Co0.1Mn0.1O2, Li metal, electrolyte with additives, tris(hexafluoroisopropyl)borate (THFPB)],10.1007/s11426-024-2597-0
Oxygen Into Sulfur- New Synthesis of Sulfide Solid Electrolyte by Oxygenophilic Boron,[],[sulfide solid electrolytes, lithium metal anode or unspecified, sulfide solid electrolytes, boron and sulfur as synthesis additives],10.1021/acs.nanolett.4c03750
From sunflower shells to hybrid-power cells: Boron-enhanced carbon electrodes for next-generation Zn-ion supercapacitors,[],[activated carbon (B-doped or undoped), zinc, ZnSO4 electrolyte, []],10.1016/j.jelechem.2025.119106
Boron-Fluoride Dual-atom Synergistic Regulated Interface Coating Enables Stable Zn-Metal Anodes,[],[MnO2, ZnBOF/Zn, aqueous, boron-fluoride dual-atom regulated SEI],10.1002/anie.202503376
Infrared Operando Study of the Solid-Electrolyte Interphase of Amorphous-Si Electrodes for Li-Ion Batteries: Effects of Methylation and Boron Doping,[],[silicon-based negative electrodes, methylated amorphous silicon thin-film electrodes, electrolyte system not specified, additives not specified],10.1021/acsaem.4c03245
Boron-doped g-C3N4 quantum dots with efficient electrocatalysis for accelerating desolvation to achieve high-performance aqueous zinc-ion batteries,[],[V2O5, Zn, aqueous zinc ion battery electrolyte, B-C3N4QDs],10.1016/j.est.2025.116418
Probing the elastic modulus and hardness of superionic boron cluster solid electrolytes,[],[, , polyhedral borane salts solid electrolyte, ],10.1016/j.jpowsour.2025.236800
Win-win cooperation of boron-doped C3N5 porous nanosheets and CoSe2 nanorods for promoting cathodic sulfur conversion in lithium-sulfur batteries,[],[sulfur, lithium, electrolyte not specified, additives not specified],10.1016/j.cej.2025.161776
Zeolitic Imidazolate Framework-67-Derived NiCoMn-Layered Double Hydroxides Nanosheets Dispersedly Grown on the Conductive Networks of Single-Walled Carbon Nanotubes for High-Performance Hybrid Supercapacitors,[],[NiCoMn-LDH/SWCNTs, boron-doped graphene aerogel, [], []],10.3390/nano15070481
Boron nanoengineering: Unveiling breakthroughs and challenges in next-generation lithium batteries,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [], additives: []],10.1016/j.jallcom.2025.179844
Understanding the Electron State Effect of Iron Single-Atom for Enhancing Solid-Solid Conversion Kinetics of Sulfur Cathodes,[],[sulfur cathode, not specified, ether-based electrolyte and halide electrolytes, not specified],10.1002/adfm.202504228
Boron-Stabilized Anisotropic Water-in-Polymer Salt Electrolyte with an Exceptionally Low Salt Concentration by Hofmeister Effect for Aqueous Lithium-Ion Batteries,[],[LiMn2O4, Li4Ti5O12, boron-stabilized anisotropic polyvinyl alcohol (PVA) hydrogel electrolyte (BaP), LiTFSI],10.1002/smll.202502776
A Redox Mediator Containing Reversible Dynamic Boron-Oxygen Bonds to Construct an Adaptive SEI Layer for Advanced Li-O2 Batteries,[],[oxygen, lithium metal, [], 4-bromomethyl-phenylboronic acid (BPLA)],10.1021/acsami.4c21918
Polydopamine Doped Hexagonal Boron Nitride Coating Separator With Excellent Heat Resistance and Wettability for High-Performance Lithium Metal Batteries,[coin battery],[LFP, lithium metal, electrolyte system not specified, polydopamine-h-BN composite separator coating],10.1002/app.56996
Aramid-based composite nanofiber separator coated with thermal conductive layer containing hexagonal boron nitride for stable lithium metal batteries from dendritic Li growth,[],[NCM, Li metal, carbonate-based electrolytes, polydopamine-modified h-BN nanoparticles],10.1016/j.cej.2025.161692
Boron recovery from wastewater using a self-powered bipolar membrane electrodialysis system,[],[charcoal felt, zinc plate, NaCl electrolyte, []],10.1016/j.seppur.2025.132439
Efficient Decomposition of Electrolyte Salt Reconstructing Helmholtz Plane for Long Life Sodium-Ion Batteries,[coin battery],[HC (hard carbon), Na (sodium metal), NaBF4 in organic solvents, []],10.1021/acssuschemeng.4c08671
Controlled Anodic Decomposition Pathway of Supramolecular Lithium Borate for Rationally Tuned Interphase Chemistry,[],[layered nickel-rich oxide-based cathode (NCM811), lithium metal anode, electrolyte with additives, lithium (2-methoxy-15-crown-5)trifluoroborate (C-LiMCFB) and lithium (15-methoxy-2,10.1002/anie.202500425
Boron-Doped Graphene as Anion-Trapping Reagent in Poly(ethylene oxide)-Based Solid-State Electrolyte,[],[lithium-ion battery, lithium metal, PEO-based solid polymer electrolyte, boron-doped graphene],10.1021/acsami.4c18304
Nitride solid-state electrolytes for all-solid-state lithium metal batteries,[pouch battery],[nitride SSEs, lithium metal, all-solid-state, []],10.1039/d4ee04927f
Tuning PEGDA/ETPTA ratios for high-performance gel electrolytes: Enhanced electrochemical stability and ultra-long cycling in lithium metal batteries,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [Poly(ethylene glycol) diacrylate (PEGDA) and Ethoxylated trimethylolpropane triacrylate (ETPTA) gel polymer electrolyte], additives: []],10.1016/j.cej.2025.160818
Self-Healing SA@Borax Binder for In Situ Tuning of the Solid Electrolyte Interfaces for Silicon Anodes,[],[silicon-based anode, not specified, not specified, sodium alginate and borax composite binder],10.1021/acssuschemeng.4c10154
Boron-Containing Ternary Electrolyte for Excellent Li-Ion Transference and Stabilization of LiNMC-Based Cells,[],[LiNMC, lithium metal, carbonate electrolytes with MDMB additive, mesityldimethoxyborane (MDMB)],10.1021/acsaem.4c02806
Dissecting ionic favorable hydrogen bond chemistry in hybrid separators for aqueous zinc-ion batteries,[],[positive electrode material: [], negative electrode material: [zinc], electrolyte system: [aqueous], additives: []],10.1039/d4sc08624d
Mixing Functionality in Polymer Electrolytes: A New Horizon for Achieving High-Performance All-Solid-State Lithium Metal Batteries,[],[lithium metal battery cathode material not specified, lithium metal, solid polymer electrolyte (PEO-lithium salt matrix with MBO additive), multi-arm boron-containing oligomer (MBO)],10.1002/anie.202422169
Thermal and ionic conductivity improvement of LAGP glass ceramic and fiber thermal drawing,[],[, , composite solid electrolytes (CSEs) with active ceramic fibers, []],10.1016/j.ceramint.2024.12.292
Sulfolane-Based Gel Polymer Electrolytes Enhanced by 2D Boron Nitride Nanosheets for Optimized Ion Dynamics and Stability in Lithium Metal Batteries,[coin battery],[LiFePO4, lithium metal, composite gel polymer electrolyte, sulfolane-based highly concentrated electrolytes,10.1021/acsapm.4c04140
Self-Healing Polymer Electrolyte Based on Boronic Ester Bonds with Hydroxyl Groups Synergistically for Lithium-Metal Batteries,[pouch battery],[LFP, Li, 3OHPBASPE-2, []],10.1021/acsapm.4c03562
A Boron-Based Anion-Receptor Additive for High-Loading Lithium-Sulfur Batteries under Lean Electrolyte Conditions,[],[sulfur, lithium, DOL/DME-based electrolytes, tris(trimethyl)silyl borate (TMSB)],10.1021/acsaem.4c02856
Heterogeneous Engineered Solid Electrolyte for Seamless and Stable Integration of Anode and Cathode,[],[LiNi0.6Co0.2Mn0.2O2 (NCM622), Li metal, in situ polymerized poly(1,3-dioxane) (PDOL) electrolyte with hetero-layered structure,10.1002/adfm.202501870
Effect of Mechanical Pressure on the Ionic Conductivity of Sodium Dodecahydrido-closo-dodecaborate,[],[solid-state sodium battery, , Na2B12H12 solid electrolyte, ],10.1021/acsmaterialslett.4c02153
3D hierarchical porous network-like nickel phosphides@boron-doped diamond composite pseudocapacitors for ultrahigh energy densities,[],[boron-doped diamond (BDD) with 3D network-like biphasic Ni5P2/Ni3P layers, boron-doped diamond (BDD) with 3D network-like biphasic Ni5P2/Ni3P layers, 1 M KOH+ 0.05 M Fe(CN)63-/4-, Fe(CN)63-/4-],10.1016/j.diamond.2025.112093
Mitigating bottleneck effects of LiTa2PO8-based hybrid solid electrolyte through boron doping for enhanced electrochemical performance in all-solid-state lithium batteries,[],[LiFePO4, Li metal, hybrid solid electrolyte, boron-doped lithium tantalum phosphate],10.1016/j.mtener.2025.101830
Fast charging Lithium metal battery based on Lewis Acid/Base dual-site solid electrolyte interphase,[coin battery],[LFP, Li metal, LiTFSI-based electrolyte, triisopropanolamine cyclic borate (BON)],10.1016/j.ensm.2025.104069
Multi-Component Phase Engineering Strategy Modulates Potassiation Reaction Energy Barrier of Alloying Anode for Stable Potassium Storage,[],[],[red phosphorus-selenium hexagonal boron nitride composite anode],[],[],10.1002/smll.202412202
First-principles elucidation of defect-mediated Li transport in hexagonal boron nitride,[],[Li-ion and Li-S batteries, [], [], []],10.1039/d4cp03655g
Interfacial engineering with BN@cellulose separator to suppress dendrite growth and side reactions in aqueous zinc-ion batteries,[],[positive electrode material: [], negative electrode material: [Zn], electrolyte system: [aqueous], additives: []],10.1016/j.elecom.2025.107882
Effect of Boron Oxide on the Ionic Conductivity of the Li1.2Al0.2Zr0.1Ti1.7(PO4)3 Ceramics with a NASICON Structure,[],[], [], [Li1.2Al0.2Zr0.1Ti1.7(PO4)3 NASICON structure], [boron oxide/B2O3],10.1134/S0036023624603271
Application of a cost-effective boron-based electrolyte additive in high-voltage lithium metal battery,[],[NCM811, lithium metal, electrolyte with bis(pinacolato)diboron (BDB) additive, bis(pinacolato)diboron (BDB)],10.1016/j.est.2025.115596
Flame-retardant cross-linked sp3 boron-based single-ion conductor polymer electrolyte for high-safety lithium metal batteries,[],[LFP, Li, BSIPE/PFN, TEP/FEC/LiNO3],10.1016/j.jechem.2024.12.043
Understanding the anchoring effects of metal ions and organic ligands in two-dimensional conductive metal-organic frameworks used for lithium-sulfur batteries,[],[lithium-sulfur, lithium, [], []],10.1016/j.commatsci.2025.113698
Penta-PBN Monolayer as a Well-Balanced Anode Material for Alkali Metal-Ion Batteries,[],[penta-phosphorus boron nitride (PBN) anode, not specified cathode, organic solvents and metal salts electrolyte, no additives specified],10.1021/acs.jpcc.4c08128
Revealing the Principles of Confining Electroplated Lithium beneath the CVD Grown Single Layer 2D Materials,[],[lithium metal batteries, lithium metal, [], []],10.1002/smll.202408986
Molecular Design of Imino Anion Acceptors Enables Long-Life Fluoride Ion Batteries,[],[CuF2, Pb, fluoride ion battery electrolyte with 1,2,10.1002/aenm.202404282
Fire-retardant and thermally conductive polyacrylonitrile-based separators enabling the safety of lithium-ion batteries,[],[], [], [], [triphenyl phosphate (TPP)],10.1016/j.jcis.2024.12.229
In Situ Formation of Bifunctional Interlayer on 3D Conductive Scaffold for Dendrite-Free Li Metal Batteries,[],[Li metal batteries, Li metal anode, 3D conductive scaffold (graphene/carbon nanotube), ionic conductive-dielectric gradient bifunctional interlayer (ICDL) with fhBN/Li3N/Li-boron composites,10.1002/eem2.12861
Stabilizing the cathode-electrolyte interphase and enhancing Na+ kinetics by a boron-based anion receptor additive,[coin battery],[NaNi1/3Fe1/3Mn1/3O2, Na, NaClO4-based electrolyte, tris(2,10.1039/d4nj04788e
Synergistic effects of film-forming and film-modifying additives for enhanced all-climate performance of graphite/NMC622 pouch cells,[pouch battery],[NMC622, graphite, electrolyte system with dual-additives, anhydride compound (FFA) and boron-containing compound (FMA)],10.1016/j.cej.2024.159156
Synthesis of cubic-Li7La3Zr2O12 solid electrolyte for all-solid-state lithium-ion batteries via a combination process of induction thermal plasma and calcination,[],[Li7La3Zr2O12, [], [], []],10.35848/1347-4065/ad9e5e
Highly Conductive Boron-Containing Electrolytes by Integrating Modeling and Experiments,[],[lithium-ion, unspecified, polymer electrolyte with acidic boron and basic oxygen atoms, unspecified],10.1021/acsomega.4c01051
Optimizing C3N5 for advanced lithium-sulfur batteries: Boron and oxygen modification in porous honeycomb frameworks,[],[sulfur cathode, lithium anode, [], []],10.1016/j.est.2024.115129
Boroxine Crystalline Covalent Organic Frameworks Based Single-ion Quasi-solid-state Conductor in Lithium-ion Battery,[],[LiFePO4, lithium metal, single-ion quasi-solid-state electrolyte based on COF-5, []],10.1007/s10118-025-3260-7
Interface Engineering of Aluminum Foil Anode for Solid-State Lithium-Ion Batteries under Extreme Conditions,[],[alloy foil anodes, high areal cathode capacities (~2.5 mAh cm⁻²), nonintrusive solid-state electrolyte rich in fluorine and boron, densely structured and highly lithiated interface,10.1021/acsenergylett.4c03066
Boron-doped carbon felt electrode on stabilizing cycle life of soluble lead redox flow battery,[redox flow battery],[lead-based positive electrode, lead-based negative electrode, soluble lead electrolyte, boron-doped carbon felt electrode additive],10.1007/s11581-024-05993-5
Boron oxide addition effect on the microstructure and conductivity of NaZr2(PO4)3 ceramic,[],[sodium solid electrolyte, , NASICON-type NaZr2(PO4)3 with boron oxide, boron oxide],10.1007/s10853-024-10551-5
